firstname,lastname,email,password,phone,category,diverse
Antwan, Aikens,Jwble4027@gmail.com,evanis#1,646-389-4167,pb,1
Carnell,Bagsby,gosuccess073@gmail.com,evanis#1,773-420-9842,pb,1
Dameon,Debose,a50392tiger@gmail.com,evanis#1,773-496-4238,pb,1
Delvin,Braxton,4039forscythe@gmail.com,evanis#1,773-598-9985,pb,1
Anahit,Ables,pickme218@gmail.com,evanis#1,646-450-2363,pw,0
Christapher,Boen,jobapps33214@gmail.com,evanis#1,917-727-2086 ,pw,0
Dezarae,Hoopes,topseller899@gmail.com,evanis#1,646-397-0807,pw,0
Garo,Haws,jobhuntings101@gmail.com,evanis#1,917-727-5645,pw,0
Ayanna,Archie,southwest2098@gmail.com,evanis#1,201-383-5012,rb,1
Gia,Battles,jwble1093@gmail.com,evanis#1,872-588-6025,rb,1
Jamon,Fomby,eastharbor8100@gmail.com,evanis#1,716-218-8781,rb,1
Rasheed,Grinner,westharbor8100@gmail.com,evanis#1,716-218-8694,rb,1
Alan,Alger,jobhunter224@gmail.com,evanis#1,646-397-6087,rw,0
Abbie,Berman,applications473@gmail.com,evanis#1,646-397-2367,rw,0
Alexander,Corwin,careerpath5498@gmail.com,evanis#1,646-389-9427,rw,0
Brayden, Feeney,jobpath3467@gmail.com,evanis#1, 646-397-3136,rw,0
Jarrell,Redic,jobapp7781@gmail.com,evanis#1,,pb,1
Kwame,Ruffin,worksmart192@gmail.com,evanis#1,,pb,1
Lemar,Silas,northharbor1762@gmail.com,evanis#1,,pb,1
Rashonda,Victorian,sportsfan9881@gmail.com,evanis#1,,pb,1
Heaven,Loewen,sportsfan1861@gmail.com,evanis#1,,pw,0
Joesph,Peery,musiclover1716@gmail.com,evanis#1,,pw,0
Kassi,Partlow,jobhunt6109@gmail.com,evanis#1,,pw,0
Mistie,Shults,gymfan0967@gmail.com,evanis#1,,pw,0
Ronda,Maxie,southharbor5109@gmail.com,evanis#1,,rb,1
Jamil,Bess,jobhunt1095@gmail.com,evanis#1,,rb,1
Sharae,Maniece,musiclover3095@gmail.com,evanis#1,,rb,1
Terrance,Jimerson,jobapps7791@gmail.com,evanis#1,,rb,1
Cole,Foss,boatfan6701@gmail.com,evanis#1,,rw,0
Erik,Hein,jobhunter0912@gmail.com,evanis#1,,rw,0
Heath,Macleod,gymfan1098@gmail.com,evanis#1,,rw,0
Owen,O'Malley,worker5091@gmail.com,evanis#1,,rw,0
Tramel,Winbush,northeast1091@yahoo.com,evanis#1,,pb,1
Tyrone,Washington,southeast8515@yahoo.com,evanis#1,,pb,1
Rio,Tabler,northwest5091@yahoo.com,evanis#1,,pw,0
Vincente,Waddle,gosuccess8015@yahoo.com,evanis#1,,pw,0
Valentino,Simien,gymlover7109@yahoo.com,evanis#1,,rb,1
Yasmeen,Wimbley,jobhunter5081@yahoo.com,evanis#1,,rb,1
Scott,Platt,jobhunting4044@yahoo.com,evanis#1,,rw,0
Zachary,Shay,pickme701@yahoo.com,evanis#1,,rw,0
