college,type,resume,link,address
"Fordham University
",New York,6,http://jobview.monster.com/Accounts-Receivable-Clerk-Job-Bronx-NY-US-169732997.aspx,"153 Underhill Ave, New York, NY 11238
"
"Manhattan College
",New York,1,http://jobview.monster.com/Accounting-Clerk-Job-Paramus-NJ-US-168505558.aspx,"32-54 80th St, New York, NY 11370
"
"Fordham University
",New York,1,http://jobview.monster.com/Automotive-Parts-Counter-Clerk-Job-New-Hyde-Park-NY-US-168323614.aspx,"47-11 45th St, New York, NY 11377
"
"Baruch College
",New York,2,http://job-openings.monster.com/monster/e95e161d-bc40-413f-bb69-b01370a8586c,"41-46 50th St, New York, NY 11377
"
"Fordham University
",New York,5,http://jobview.monster.com/Junior-Accounts-Payable-Clerk-Job-Manhattan-NY-US-168620188.aspx,"4069 Dodgewood Rd, New York, NY 10471
"
"Baruch College
",New York,0,http://jobview.monster.com/Accounts-Payable-Clerk-Job-Secaucus-NJ-US-121497909.aspx,"4645 Independence Ave, New York, NY 10471
"
"Manhattan College
",New York,6,http://job-openings.monster.com/monster/0514d000-6a13-46a0-885c-1d90e8aec468,"32-54 82nd St, New York, NY 11370
"
"Baruch College
",New York,1,http://job-openings.monster.com/monster/0bc058d0-163e-40d7-9170-a666c22eb4b7,"45-44 42nd St, New York, NY 11104
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/58888d9a-78e6-4670-89d4-9eb29278dc81,"9 Ploughmans Bush, New York, NY 10471
"
"Baruch College
",New York,7,http://job-openings.monster.com/monster/49b0d1a4-5867-4f1a-904f-b7bb7b6792ba,"32-54 82nd St, New York, NY 11370
"
"Pace University
",New York,3,http://job-openings.monster.com/monster/cdca2dae-caa0-4bdc-832b-61a21a381f45,"41-15 50th St, New York, NY 11377
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/4fe43792-c69b-411b-a221-a79cd1632b41,"153 Underhill Ave, New York, NY 11238
"
"Manhattan College
",New York,3,http://job-openings.monster.com/monster/bd7c0fdc-31bd-4fbf-874b-79d3e7da9b62,"153 Underhill Ave, New York, NY 11238
"
"Baruch College
",New York,4,http://job-openings.monster.com/monster/4d373289-73b2-4eba-9647-a16afe6caf82,"4645 Independence Ave, New York, NY 10471
"
"Baruch College
",New York,7,http://job-openings.monster.com/monster/d8f89c7b-3f6b-4323-855b-40c8c64615df,"4645 Independence Ave, New York, NY 10471
"
"Manhattan College
",New York,4,http://job-openings.monster.com/monster/67495c4f-a3d8-4e52-9a47-96b76076cc39,"31-23 80th St, New York, NY 11370
"
"Manhattan College
",New York,5,http://job-openings.monster.com/monster/8e08d7ae-c3bc-43e4-bd0e-2932f14391a8,"41-15 50th St, New York, NY 11377
"
"Fordham University
",New York,2,http://job-openings.monster.com/monster/745a0cfb-6c02-4085-9fd5-ca17559daff7,"4069 Dodgewood Rd, New York, NY 10471
"
"Baruch College
",New York,3,http://job-openings.monster.com/monster/ce732468-d2a2-4bd3-a08e-fdab13c7bff8,"41-15 50th St, New York, NY 11377
"
"Fordham University
",New York,3,http://job-openings.monster.com/monster/73b4fdcd-a787-4313-9267-5201797d3c5a,"32-19 76th St, New York, NY 11370
"
"Baruch College
",New York,4,http://job-openings.monster.com/monster/25b9cbcc-be76-42b6-b49a-552c5a9008d3,"32-54 80th St, New York, NY 11370
"
"Pace University
",New York,1,http://job-openings.monster.com/monster/9506ad5a-69ee-4c5e-aaaf-4a68ce95ce1e,"4650 Hadley Ave, New York, NY 10471
"
"Fordham University
",New York,0,http://job-openings.monster.com/monster/84ceb28c-e6f2-4e98-a8c3-53d08db91016,"681 Bergen St, New York, NY 11238
"
"Baruch College
",New York,6,http://job-openings.monster.com/monster/4aa0edd2-dc48-4c87-af7b-ff6df53ce282,"45-44 42nd St, New York, NY 11104
"
"Baruch College
",New York,2,http://job-openings.monster.com/monster/7003ff63-b322-4806-9070-f845af695cca,"45-44 42nd St, New York, NY 11104
"
"Pace University
",New York,4,http://job-openings.monster.com/monster/1b79f1d0-96c0-4676-b072-e07965f3e38d,"288 Prospect Pl, New York, NY 11238
"
"Fordham University
",New York,7,http://job-openings.monster.com/monster/a5af222c-6256-4539-9346-9adef603a143,"4650 Hadley Ave, New York, NY 10471
"
"Pace University
",New York,6,http://job-openings.monster.com/monster/d0d48636-7e9d-42e1-bd88-23f24103491d,"153 Underhill Ave, New York, NY 11238
"
"Manhattan College
",New York,3,http://job-openings.monster.com/monster/4282649d-2bec-4ec8-b7ac-38855fca1a5a,"288 Prospect Pl, New York, NY 11238
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/da4a02ad-28b4-45eb-bab4-a8c99574b44e,"32-54 82nd St, New York, NY 11370
"
"Manhattan College
",New York,6,http://job-openings.monster.com/monster/07be962d-d52c-44cf-acfd-7cd5263b2f19,"32-54 80th St, New York, NY 11370
"
"Pace University
",New York,6,http://job-openings.monster.com/monster/4501e105-72c0-4d02-a25c-27ef4fc06a4f,"41-22 42nd St, New York, NY 11104
"
"Pace University
",New York,6,http://job-openings.monster.com/monster/462860f2-86ac-4b31-b30a-82ae60c58d1b,"47-11 45th St, New York, NY 11377
"
"Baruch College
",New York,6,http://job-openings.monster.com/monster/56e81547-de1c-42db-83e7-547176a6e9d6,"228 Lincoln Pl, New York, NY 11217
"
"Fordham University
",New York,6,http://job-openings.monster.com/monster/e507123d-c570-4b48-9be0-61fa12da072f,"9 Ploughmans Bush, New York, NY 10471
"
"Fordham University
",New York,0,http://job-openings.monster.com/monster/841b4309-7ffa-4497-9bd3-b1396227d8a0,"4650 Hadley Ave, New York, NY 10471
"
"Manhattan College
",New York,2,http://job-openings.monster.com/monster/1b91365f-8bea-4e08-8ca6-3d859040a0fa,"228 Lincoln Pl, New York, NY 11217
"
"Baruch College
",New York,5,http://job-openings.monster.com/monster/151296fa-32cb-4216-9721-b997609a2fdf,"4645 Independence Ave, New York, NY 10471
"
"Manhattan College
",New York,3,http://job-openings.monster.com/monster/6764462f-05d0-4813-8ed2-a2bfe0430398,"32-54 82nd St, New York, NY 11370
"
"Fordham University
",New York,1,http://job-openings.monster.com/monster/3128ba10-3f54-4f66-910c-f24c7b4cacb4,"32-54 82nd St, New York, NY 11370
"
"Fordham University
",New York,7,http://job-openings.monster.com/monster/2b602ac6-bffe-4a1d-b40a-dcd66d1338b0,"32-43 83rd St, New York, NY 11370
"
"Baruch College
",New York,2,http://job-openings.monster.com/monster/bba4b9aa-d364-48b5-b92e-d3e17cf9f3e4,"9 Ploughmans Bush, New York, NY 10471
"
"Baruch College
",New York,5,http://job-openings.monster.com/monster/b5f0da85-1f6f-428d-aa32-6a99aaef9627,"228 Lincoln Pl, New York, NY 11217
"
"Manhattan College
",New York,1,http://job-openings.monster.com/monster/0d6e5dc0-3f26-466b-b43f-9d6455eabe04,"41-15 50th St, New York, NY 11377
"
"Manhattan College
",New York,2,http://job-openings.monster.com/monster/ef66d083-6f0d-4f58-a510-17814a3311cf,"45-44 42nd St, New York, NY 11104
"
"Baruch College
",New York,0,http://job-openings.monster.com/monster/0a022189-ff4d-4b78-94f4-da462949f8e2,"4069 Dodgewood Rd, New York, NY 10471
"
"Fordham University
",New York,5,http://job-openings.monster.com/monster/fef4a236-5737-4c46-b66d-2307bffa0fe1,"4600 Palisade Ave, New York, NY 10471
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/58a5476c-2d4d-457d-806e-ec9fcbd9fbc6,"288 Prospect Pl, New York, NY 11238
"
"Manhattan College
",New York,1,http://job-openings.monster.com/monster/eb03741a-8323-4d4e-aa85-ee1e9a3b30c4,"32-19 76th St, New York, NY 11370
"
"Manhattan College
",New York,4,http://job-openings.monster.com/monster/84cc189e-c13d-4059-a34b-209e6c320791,"41-46 50th St, New York, NY 11377
"
"Baruch College
",New York,3,http://job-openings.monster.com/monster/e445ecd6-67f9-4c93-828d-6dd51bbb8e34,"32-54 80th St, New York, NY 11370
"
"Manhattan College
",New York,2,http://job-openings.monster.com/monster/0b339c4f-7564-46ff-9040-72634b5b6847,"9 Ploughmans Bush, New York, NY 10471
"
"Pace University
",New York,1,http://job-openings.monster.com/monster/7fb26125-b295-4eb7-8000-fabbd57bdbb7,"4600 Palisade Ave, New York, NY 10471
"
"Pace University
",New York,2,http://job-openings.monster.com/monster/10becbb7-4a64-4e95-a75f-113e01efb4e4,"45-44 42nd St, New York, NY 11104
"
"Fordham University
",New York,3,http://job-openings.monster.com/monster/0632522f-0e9b-42cf-94f2-ed522f52c96c,"41-46 50th St, New York, NY 11377
"
