college,link,address
"Pace University
",http://jobview.monster.com/Administrative-Clerical-Assistant-AA2136-145-19791-Job-New-York-City-NY-US-169716859.aspx,"32-19 76th St, New York, NY 11370
"
"Pace University
",http://jobview.monster.com/Customer-Service-Inventory-Clerk-Job-North-Bergen-NJ-US-158952151.aspx,"32-43 83rd St, New York, NY 11370
"
"Fordham University
",http://jobview.monster.com/Accounts-Payable-Clerk-Admin-Job-Manhattan-NY-US-169438694.aspx,"4600 Palisade Ave, New York, NY 10471
"
"Manhattan College
",http://jobview.monster.com/Accounting-Clerk-Job-Clark-NJ-US-169177821.aspx,"31-23 80th St, New York, NY 11370
"
"Manhattan College
",http://jobview.monster.com/Facilities-Clerk-Job-Newark-NJ-US-168619413.aspx,"681 Bergen St, New York, NY 11238
"
"Baruch College
",http://jobview.monster.com/Accounting-Payroll-Clerk-Job-Astoria-NY-US-167754806.aspx,"4645 Independence Ave, New York, NY 10471
"
"Baruch College
",http://jobview.monster.com/Accounts-Clerk-Job-New-York-City-NY-US-168972130.aspx,"4645 Independence Ave, New York, NY 10471
"
"Manhattan College
",http://job-openings.monster.com/monster/09977075-f7c4-4e8b-aa41-f35deaa2c9a6,"228 Lincoln Pl, New York, NY 11217
"
"Manhattan College
",http://job-openings.monster.com/monster/92f2d06a-04a9-4706-8d39-83b33510bb98,"31-23 80th St, New York, NY 11370
"
"Baruch College
",http://job-openings.monster.com/monster/847dda1f-76a8-4fc3-b185-208bc2e9ed5e,"41-46 50th St, New York, NY 11377
"
"Baruch College
",http://job-openings.monster.com/monster/f91236c5-b108-4d2e-b39c-17b6bb3dc9fb,"4600 Palisade Ave, New York, NY 10471
"
"Fordham University
",http://job-openings.monster.com/monster/18dd403c-d5eb-47d7-94ee-bb4b9c2cfa64,"31-23 80th St, New York, NY 11370
"
"Manhattan College
",http://job-openings.monster.com/monster/90dafd1a-8d1d-41f7-baae-fb9fb61ebe8b,"228 Lincoln Pl, New York, NY 11217
"
"Manhattan College
",http://job-openings.monster.com/monster/af6362d6-20cc-47fc-865f-1d5f2027db78,"153 Underhill Ave, New York, NY 11238
"
"Pace University
",http://job-openings.monster.com/monster/920f8a7d-bbbd-4242-a0f5-c631a7a4601e,"32-54 82nd St, New York, NY 11370
"
"Fordham University
",http://job-openings.monster.com/monster/db7cfb64-b843-4391-8de7-35c8e3502fa0,"32-54 80th St, New York, NY 11370
"
"Manhattan College
",http://job-openings.monster.com/monster/de62bd08-d7e0-4b6c-a058-16d1079502ff,"41-22 42nd St, New York, NY 11104
"
"Baruch College
",http://job-openings.monster.com/monster/213bdc08-19bc-49c0-8f21-5bcb0ba34aa9,"41-15 50th St, New York, NY 11377
"
"Fordham University
",http://job-openings.monster.com/monster/99b7e2a3-79da-4c65-b8f3-a4c2c1c5b423,"4645 Independence Ave, New York, NY 10471
"
"Fordham University
",http://job-openings.monster.com/monster/df3b4054-5653-4576-9928-c22210a5a6a9,"681 Bergen St, New York, NY 11238
"
"Fordham University
",http://job-openings.monster.com/monster/191d8f12-2cb5-4320-9ec4-c6018f8136d3,"4650 Hadley Ave, New York, NY 10471
"
"Manhattan College
",http://job-openings.monster.com/monster/c5e1b52e-689b-48c0-9d06-ffa6436aadff,"681 Bergen St, New York, NY 11238
"
"Pace University
",http://job-openings.monster.com/monster/a6eddbe4-da73-463a-8d47-b2a181cc0bb2,"47-11 45th St, New York, NY 11377
"
"Manhattan College
",http://job-openings.monster.com/monster/3535b8a6-05e9-4110-936d-3f1db1a439b2,"45-44 42nd St, New York, NY 11104
"
"Pace University
",http://job-openings.monster.com/monster/080ba561-b457-4b71-b2c9-38c2f0ecc536,"153 Underhill Ave, New York, NY 11238
"
"Fordham University
",http://job-openings.monster.com/monster/c66aa4bb-7ddc-4310-89d3-8bcab3a0711a,"32-19 76th St, New York, NY 11370
"
"Fordham University
",http://job-openings.monster.com/monster/63e516b8-9f05-44c8-a801-9b2b8da2f816,"9 Ploughmans Bush, New York, NY 10471
"
"Pace University
",http://job-openings.monster.com/monster/aeeae3a6-6987-436a-a5c8-a8289f3c4841,"288 Prospect Pl, New York, NY 11238
"
"Manhattan College
",http://job-openings.monster.com/monster/f2be0dcf-6d88-4c4f-bad6-430a7a4ea85c,"32-43 83rd St, New York, NY 11370
"
"Manhattan College
",http://job-openings.monster.com/monster/75ed76de-2137-4f5e-bb7b-b8e15b817809,"32-43 83rd St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/1e7b6aeb-2ebb-4c8d-a1c2-e87a8bee13ca,"228 Lincoln Pl, New York, NY 11217
"
"Fordham University
",http://job-openings.monster.com/monster/11e2d0db-acd4-456d-9f6f-676609955893,"681 Bergen St, New York, NY 11238
"
"Baruch College
",http://job-openings.monster.com/monster/56e969ea-ad0b-4db7-a954-f25cca5c0711,"4650 Hadley Ave, New York, NY 10471
"
"Pace University
",http://job-openings.monster.com/monster/a405da74-f6dd-4468-8f97-70d291e2df1b,"4600 Palisade Ave, New York, NY 10471
"
"Pace University
",http://job-openings.monster.com/monster/208689ff-c4f2-4b66-9c01-4a75c3772b20,"32-19 76th St, New York, NY 11370
"
"Fordham University
",http://job-openings.monster.com/monster/6aef2a42-ab37-4cbb-b302-6c7c413f6bd8,"31-23 80th St, New York, NY 11370
"
"Baruch College
",http://job-openings.monster.com/monster/52d7bf43-90b8-46bc-be14-2b36d0207727,"4069 Dodgewood Rd, New York, NY 10471
"
"Baruch College
",http://job-openings.monster.com/monster/7a041b73-be97-4779-873d-bb866ef3ab79,"32-54 82nd St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/592c22e2-9c0c-4ee7-b668-aaf885f1e1c4,"9 Ploughmans Bush, New York, NY 10471
"
"Fordham University
",http://job-openings.monster.com/monster/55f7bfa2-84fe-4d5e-98f0-ba9ba973b93f,"4650 Hadley Ave, New York, NY 10471
"
"Pace University
",http://job-openings.monster.com/monster/7b435939-44ad-4941-9057-81c9afaeb008,"4645 Independence Ave, New York, NY 10471
"
"Manhattan College
",http://job-openings.monster.com/monster/29ac253a-93ad-469a-88d0-89d8f6593e15,"32-54 80th St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/ca591ee0-35bb-4dfa-b82f-99c1e6a748ea,"228 Lincoln Pl, New York, NY 11217
"
"Manhattan College
",http://job-openings.monster.com/monster/a4fb2a1e-4016-4bcc-b172-a7de112b69fe,"288 Prospect Pl, New York, NY 11238
"
"Pace University
",http://job-openings.monster.com/monster/57d2bc7c-d7e5-4bef-a60f-98cbcee04a5e,"288 Prospect Pl, New York, NY 11238
"
"Manhattan College
",http://job-openings.monster.com/monster/c6fd71bf-8e26-4f98-b7cf-16b767d7e90e,"681 Bergen St, New York, NY 11238
"
"Pace University
",http://job-openings.monster.com/monster/e1a17598-a43b-43c2-b941-f521030ddf9a,"32-54 80th St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/ce21e7ba-3bdb-42b2-a2f8-e7e83cff4501,"32-54 82nd St, New York, NY 11370
"
"Baruch College
",http://job-openings.monster.com/monster/074ae11d-738d-45a9-9442-8ab6b82e1cff,"9 Ploughmans Bush, New York, NY 10471
"
"Pace University
",http://job-openings.monster.com/monster/be3c71cc-9504-44b4-8c2e-f3a2b4e262a4,"31-23 80th St, New York, NY 11370
"
"Manhattan College
",http://job-openings.monster.com/monster/aba11c1a-0b9e-4c0a-919e-4aa3f96414ac,"4645 Independence Ave, New York, NY 10471
"
"Fordham University
",http://job-openings.monster.com/monster/97d2ee28-dad1-4c18-860f-fcf6b70849ff,"4650 Hadley Ave, New York, NY 10471
"
"Fordham University
",http://job-openings.monster.com/monster/95b76c4b-677e-4850-8cf6-83e944288b64,"9 Ploughmans Bush, New York, NY 10471
"
"Fordham University
",http://job-openings.monster.com/monster/5dc7f847-0a5b-48cd-8c8b-586afa0323fb,"32-54 82nd St, New York, NY 11370
"
"Manhattan College
",http://job-openings.monster.com/monster/04356697-84ea-4a1d-b5fb-a24c027efff1,"41-22 42nd St, New York, NY 11104
"
"Baruch College
",http://job-openings.monster.com/monster/4e1e8fae-51b6-471b-a6d8-bc9c5635175b,"681 Bergen St, New York, NY 11238
"
"Manhattan College
",http://job-openings.monster.com/monster/6d329bd8-04fc-45a4-a60e-21dd779a6f51,"4069 Dodgewood Rd, New York, NY 10471
"
"Baruch College
",http://job-openings.monster.com/monster/e9ab50c0-dddd-4fbd-9508-808076cf2ede,"681 Bergen St, New York, NY 11238
"
"Fordham University
",http://job-openings.monster.com/monster/81d3d872-7483-4ac1-a309-fb5a691b74b7,"4069 Dodgewood Rd, New York, NY 10471
"
"Baruch College
",http://job-openings.monster.com/monster/9d9e142c-013a-47ea-91c4-9654a1bc9c57,"32-54 80th St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/86fe0ccb-4b9a-4521-9772-c6c3b143d0f4,"288 Prospect Pl, New York, NY 11238
"
"Pace University
",http://job-openings.monster.com/monster/037318dc-5d60-48fd-9fe1-6a8710964281,"32-19 76th St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/06f299d7-7fb7-4321-b1a5-cedc39f7f606,"32-54 80th St, New York, NY 11370
"
"Baruch College
",http://job-openings.monster.com/monster/607b207d-8ede-4c0b-b3a3-ff3dfb993800,"4650 Hadley Ave, New York, NY 10471
"
