college,type,resume,link,address
"Manhattan College
",New York,5,http://jobview.monster.com/Entry-Level-Accounts-Payable-Clerk-Job-Garden-City-NY-US-168076279.aspx,"32-19 76th St, New York, NY 11370
"
"Fordham University
",New York,6,http://jobview.monster.com/Accounts-Payable-Clerk-Job-Springfield-NJ-US-121758416.aspx,"41-46 50th St, New York, NY 11377
"
"Manhattan College
",New York,6,http://jobview.monster.com/Stockroom-Clerk-Job-Rockleigh-NJ-US-169717667.aspx,"288 Prospect Pl, New York, NY 11238
"
"Fordham University
",New York,0,http://jobview.monster.com/human-resources-administrative-assistant-job-us-167798850.aspx,"228 Lincoln Pl, New York, NY 11217
"
"Baruch College
",New York,5,http://jobview.monster.com/Accounts-Receivable-Clerk-Job-Union-NJ-US-113305985.aspx,"41-15 50th St, New York, NY 11377
"
"Baruch College
",New York,5,http://jobview.monster.com/Accounts-Receivable-Clerk-Job-Hackensack-NJ-US-114075217.aspx,"32-19 76th St, New York, NY 11370
"
"Fordham University
",New York,5,http://job-openings.monster.com/monster/9b4e8553-5443-470e-b9cc-da1592138167,"45-44 42nd St, New York, NY 11104
"
"Manhattan College
",New York,7,http://job-openings.monster.com/monster/728d0baf-05aa-4577-bd60-b2555683d9fd,"288 Prospect Pl, New York, NY 11238
"
"Manhattan College
",New York,4,http://job-openings.monster.com/monster/e145835b-cd24-4b42-8850-d0137d6c24d0,"288 Prospect Pl, New York, NY 11238
"
"Fordham University
",New York,0,http://job-openings.monster.com/monster/d78649f5-999e-473a-841b-bb8da73ca406,"41-15 50th St, New York, NY 11377
"
"Manhattan College
",New York,4,http://job-openings.monster.com/monster/a6138677-539f-447d-bd7a-cc8a254cf785,"31-23 80th St, New York, NY 11370
"
"Manhattan College
",New York,6,http://job-openings.monster.com/monster/814b5b22-c7f9-4bf3-8e02-ab4cf4fbbbb5,"41-46 50th St, New York, NY 11377
"
"Fordham University
",New York,1,http://job-openings.monster.com/monster/181aa7f8-530f-429f-bbee-4c4a64273b81,"32-43 83rd St, New York, NY 11370
"
"Fordham University
",New York,5,http://job-openings.monster.com/monster/250e637c-fb34-4f21-9a47-2270706cd45f,"288 Prospect Pl, New York, NY 11238
"
"Manhattan College
",New York,3,http://job-openings.monster.com/monster/e4460bea-9f8b-40c8-9018-d67fc57cdc00,"32-19 76th St, New York, NY 11370
"
"Pace University
",New York,1,http://job-openings.monster.com/monster/bb8d2276-eb44-41e2-962d-a4a48ab77735,"45-44 42nd St, New York, NY 11104
"
"Manhattan College
",New York,4,http://job-openings.monster.com/monster/bc0f2a56-0b17-45a1-919e-09ca53abeb80,"41-46 50th St, New York, NY 11377
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/5533ccc6-0fa8-476d-abb4-3a625753f562,"4650 Hadley Ave, New York, NY 10471
"
"Baruch College
",New York,6,http://job-openings.monster.com/monster/401e9c30-fb1f-4c7a-8f26-45262f136867,"228 Lincoln Pl, New York, NY 11217
"
"Fordham University
",New York,0,http://job-openings.monster.com/monster/4a8e6bbc-ddce-4139-99d2-b02faa209799,"41-15 50th St, New York, NY 11377
"
"Manhattan College
",New York,1,http://job-openings.monster.com/monster/dc3f36b9-016c-400b-80b2-96d234804d66,"4650 Hadley Ave, New York, NY 10471
"
"Baruch College
",New York,3,http://job-openings.monster.com/monster/fbad3949-c87d-45fe-a49f-44e8f755f12c,"41-22 42nd St, New York, NY 11104
"
"Fordham University
",New York,4,http://job-openings.monster.com/monster/f6fbaabb-0e5d-4970-aa00-8769ed0d6af0,"4069 Dodgewood Rd, New York, NY 10471
"
"Pace University
",New York,7,http://job-openings.monster.com/monster/32a03e8a-9fa7-4e5e-918e-cc80717e9e69,"41-46 50th St, New York, NY 11377
"
"Manhattan College
",New York,3,http://job-openings.monster.com/monster/2d47f6d7-8b24-49f5-869f-035e7dbdca54,"228 Lincoln Pl, New York, NY 11217
"
"Manhattan College
",New York,4,http://job-openings.monster.com/monster/d009cec1-5e0f-4907-8171-48feff03f040,"45-44 42nd St, New York, NY 11104
"
"Manhattan College
",New York,6,http://job-openings.monster.com/monster/b0ceee82-5411-4935-9b7e-c3a48077b900,"288 Prospect Pl, New York, NY 11238
"
"Fordham University
",New York,4,http://job-openings.monster.com/monster/1d414665-17ea-483b-b3c7-8d50f11d8f76,"4069 Dodgewood Rd, New York, NY 10471
"
"Fordham University
",New York,2,http://job-openings.monster.com/monster/87202cbf-f749-4bcc-b42a-396b0f112ad7,"153 Underhill Ave, New York, NY 11238
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/d8c85b4a-4dac-4e37-a868-6e361fa908aa,"45-44 42nd St, New York, NY 11104
"
"Manhattan College
",New York,0,http://job-openings.monster.com/monster/e24c5c48-0d6b-4355-bd0b-3748b5942b67,"47-11 45th St, New York, NY 11377
"
"Pace University
",New York,4,http://job-openings.monster.com/monster/1217abaa-8ffd-4ce9-beac-ee21e70609d5,"153 Underhill Ave, New York, NY 11238
"
"Pace University
",New York,5,http://job-openings.monster.com/monster/5427327f-ff80-46b6-97c1-cda05456604b,"47-11 45th St, New York, NY 11377
"
"Manhattan College
",New York,0,http://job-openings.monster.com/monster/16f38127-eedf-4e7b-b30e-b8e13f40b80f,"228 Lincoln Pl, New York, NY 11217
"
"Fordham University
",New York,7,http://job-openings.monster.com/monster/45222543-7997-4c3e-8e3f-8ac610a8c836,"47-11 45th St, New York, NY 11377
"
"Pace University
",New York,5,http://job-openings.monster.com/monster/e560b6b2-e76e-4bbb-8823-d3f9214e242f,"41-15 50th St, New York, NY 11377
"
"Baruch College
",New York,7,http://job-openings.monster.com/monster/b316441b-57e9-4290-b113-ea452e7079c3,"288 Prospect Pl, New York, NY 11238
"
"Baruch College
",New York,6,http://job-openings.monster.com/monster/45e4dc43-4d2f-486a-8f5a-80ce8922636c,"288 Prospect Pl, New York, NY 11238
"
"Fordham University
",New York,6,http://job-openings.monster.com/monster/e1a2b30e-f04a-4dde-a650-80ff7d22764a,"9 Ploughmans Bush, New York, NY 10471
"
"Pace University
",New York,6,http://job-openings.monster.com/monster/103a8d38-ecfe-4542-b032-b913dc564c6d,"4069 Dodgewood Rd, New York, NY 10471
"
"Pace University
",New York,7,http://job-openings.monster.com/monster/1131446b-caa6-416c-96f4-1fb83fed6258,"681 Bergen St, New York, NY 11238
"
"Baruch College
",New York,0,http://job-openings.monster.com/monster/00f022b8-eb84-40df-a15b-275e82d8abe5,"41-22 42nd St, New York, NY 11104
"
"Manhattan College
",New York,7,http://job-openings.monster.com/monster/95ec4bad-96f8-4034-97ae-5a5a7968a532,"31-23 80th St, New York, NY 11370
"
"Fordham University
",New York,4,http://job-openings.monster.com/monster/64b6c8ff-a2b9-462c-a2c8-4c3c465d39c3,"31-23 80th St, New York, NY 11370
"
"Fordham University
",New York,0,http://job-openings.monster.com/monster/dd465c11-205d-4bbe-9e9e-970e990d44f7,"681 Bergen St, New York, NY 11238
"
"Baruch College
",New York,1,http://job-openings.monster.com/monster/08ea7935-521c-4770-a0b6-97d3a4015a5e,"32-19 76th St, New York, NY 11370
"
"Fordham University
",New York,4,http://job-openings.monster.com/monster/cc872700-adc8-4e29-8f39-baecb03a80d8,"41-46 50th St, New York, NY 11377
"
"Manhattan College
",New York,3,http://job-openings.monster.com/monster/7f706770-eaf9-4b4e-a0e5-9f63382b3689,"32-54 80th St, New York, NY 11370
"
