college,link,address
"Baruch College
",http://jobview.monster.com/File-Clerk-Receptionist-Job-Springfield-NJ-US-157206373.aspx,"41-15 50th St, New York, NY 11377
"
"Pace University
",http://jobview.monster.com/Purchasing-Clerk-%E2%80%93-Buyer-Job-Brooklyn-NY-US-168820287.aspx,"9 Ploughmans Bush, New York, NY 10471
"
"Baruch College
",http://jobview.monster.com/Accounts-Payable-Clerk-Job-Jersey-City-NJ-US-169215329.aspx,"4645 Independence Ave, New York, NY 10471
"
"Baruch College
",http://jobview.monster.com/Calendar-Clerk-Job-New-York-City-NY-US-169471007.aspx,"4650 Hadley Ave, New York, NY 10471
"
"Manhattan College
",http://jobview.monster.com/Export-Clerk-Job-Lawrence-NY-US-169471759.aspx,"32-54 82nd St, New York, NY 11370
"
"Fordham University
",http://jobview.monster.com/Patent-Docket-Clerk-Job-Newark-NJ-US-168179779.aspx,"288 Prospect Pl, New York, NY 11238
"
"Baruch College
",http://jobview.monster.com/Seasonal-Part-time-Accounting-Clerk-Job-Paramus-NJ-US-168764596.aspx,"32-54 80th St, New York, NY 11370
"
"Manhattan College
",http://job-openings.monster.com/monster/09df6ee7-8cfb-4641-9edd-d7ee05e4c863,"32-54 80th St, New York, NY 11370
"
"Manhattan College
",http://jobview.monster.com/INVOICE-CLERK-ASS'T-BOOKEEPER-Job-New-Hyde-Park-NY-US-168825593.aspx,"32-43 83rd St, New York, NY 11370
"
"Baruch College
",http://jobview.monster.com/Accounts-Payable-Clerk-Job-Iselin-NJ-US-116567322.aspx,"32-54 80th St, New York, NY 11370
"
"Fordham University
",http://job-openings.monster.com/monster/d7f963cc-2669-43d5-a605-caba6d79a5ec,"41-15 50th St, New York, NY 11377
"
"Fordham University
",http://job-openings.monster.com/monster/cbe14b17-43d6-4259-9e67-69284189b7bb,"288 Prospect Pl, New York, NY 11238
"
"Baruch College
",http://job-openings.monster.com/monster/5cd75e34-b0c4-44a1-bc08-6339050f00e6,"4069 Dodgewood Rd, New York, NY 10471
"
"Baruch College
",http://job-openings.monster.com/monster/88d4ed69-ae18-4b63-9682-684eb99766ef,"228 Lincoln Pl, New York, NY 11217
"
"Pace University
",http://job-openings.monster.com/monster/de4ac6ba-176d-40bc-a582-a458cec32c5a,"153 Underhill Ave, New York, NY 11238
"
"Fordham University
",http://job-openings.monster.com/monster/67495c4f-a3d8-4e52-9a47-96b76076cc39,"47-11 45th St, New York, NY 11377
"
"Fordham University
",http://job-openings.monster.com/monster/6bea3f1c-ff42-4590-99f8-a9cb433ce488,"31-23 80th St, New York, NY 11370
"
"Fordham University
",http://job-openings.monster.com/monster/fd34a9aa-a43a-4968-924b-47d3f32de84c,"41-22 42nd St, New York, NY 11104
"
"Pace University
",http://job-openings.monster.com/monster/7003ff63-b322-4806-9070-f845af695cca,"41-15 50th St, New York, NY 11377
"
"Fordham University
",http://job-openings.monster.com/monster/cb0a6358-3452-416e-9250-dc95f42eea7e,"41-15 50th St, New York, NY 11377
"
"Manhattan College
",http://job-openings.monster.com/monster/da4a02ad-28b4-45eb-bab4-a8c99574b44e,"45-44 42nd St, New York, NY 11104
"
"Fordham University
",http://job-openings.monster.com/monster/c72d5495-66df-479e-915f-a45b76daf836,"41-15 50th St, New York, NY 11377
"
"Manhattan College
",http://job-openings.monster.com/monster/c9035992-286f-4ef9-83fb-c6763a60ea40,"4069 Dodgewood Rd, New York, NY 10471
"
"Fordham University
",http://job-openings.monster.com/monster/92568bf1-85e1-4dc6-bfe2-03beba5333fa,"32-19 76th St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/9230e301-8c79-4e74-94fc-8fb165ca61df,"4069 Dodgewood Rd, New York, NY 10471
"
"Manhattan College
",http://job-openings.monster.com/monster/56e81547-de1c-42db-83e7-547176a6e9d6,"9 Ploughmans Bush, New York, NY 10471
"
"Manhattan College
",http://job-openings.monster.com/monster/95d73819-3903-43a1-bf86-19b4fc394241,"45-44 42nd St, New York, NY 11104
"
"Pace University
",http://job-openings.monster.com/monster/3e2725a1-bb1f-42db-b191-78071c7a5a6c,"41-46 50th St, New York, NY 11377
"
"Pace University
",http://job-openings.monster.com/monster/d009cec1-5e0f-4907-8171-48feff03f040,"9 Ploughmans Bush, New York, NY 10471
"
"Pace University
",http://job-openings.monster.com/monster/7c1807b0-62da-4aa5-86f7-1acbd35565a2,"41-22 42nd St, New York, NY 11104
"
"Manhattan College
",http://job-openings.monster.com/monster/8875b1d5-999b-4c7a-a17e-019f0a32efea,"681 Bergen St, New York, NY 11238
"
"Baruch College
",http://job-openings.monster.com/monster/6764462f-05d0-4813-8ed2-a2bfe0430398,"41-15 50th St, New York, NY 11377
"
"Baruch College
",http://job-openings.monster.com/monster/d397df9e-980e-41d1-bcd5-2c5e173dbe2c,"32-54 80th St, New York, NY 11370
"
"Fordham University
",http://job-openings.monster.com/monster/e24c5c48-0d6b-4355-bd0b-3748b5942b67,"45-44 42nd St, New York, NY 11104
"
"Fordham University
",http://job-openings.monster.com/monster/f234c03a-5a20-42ab-b129-aa5a15442fbc,"228 Lincoln Pl, New York, NY 11217
"
"Pace University
",http://job-openings.monster.com/monster/6c225617-5f49-41d4-badd-c24e84bb507f,"41-22 42nd St, New York, NY 11104
"
"Fordham University
",http://job-openings.monster.com/monster/a97b4cea-cf01-408d-84e1-3c8cee72e052,"32-54 82nd St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/27ed1251-5134-4258-a3a7-8fb2ad8448ec,"32-19 76th St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/2ff36ac2-2e4f-4b0c-8dee-ad955412a3d1,"47-11 45th St, New York, NY 11377
"
