college,link,address
"Pace University
",http://jobview.monster.com/Senior-Mail-Clerk-Job-Newark-NJ-US-169165579.aspx,"32-54 82nd St, New York, NY 11370
"
"Fordham University
",http://jobview.monster.com/Intellectual-Property-IP-Docketing-Clerk-Job-Franklin-Lakes-NJ-US-169745705.aspx,"153 Underhill Ave, New York, NY 11238
"
"Manhattan College
",http://jobview.monster.com/Accounts-Payable-Clerk-German-Fluency-Required-Job-New-York-NY-US-169699324.aspx,"41-22 42nd St, New York, NY 11104
"
"Pace University
",http://jobview.monster.com/Receiving-Clerk-Job-Butler-NJ-US-168672216.aspx,"32-54 80th St, New York, NY 11370
"
"Manhattan College
",http://job-openings.monster.com/monster/e95e161d-bc40-413f-bb69-b01370a8586c,"31-23 80th St, New York, NY 11370
"
"Manhattan College
",http://jobview.monster.com/Accounts-Payable-Clerk-Job-Linden-NJ-US-112154576.aspx,"9 Ploughmans Bush, New York, NY 10471
"
"Manhattan College
",http://jobview.monster.com/Junior-Accounts-Payable-Clerk-Job-Manhattan-NY-US-168620188.aspx,"153 Underhill Ave, New York, NY 11238
"
"Pace University
",http://jobview.monster.com/Accounts-Payable-Clerk-Job-Secaucus-NJ-US-121497909.aspx,"4069 Dodgewood Rd, New York, NY 10471
"
"Manhattan College
",http://jobview.monster.com/Accounts-Receivable-Clerk-Job-Union-NJ-US-113305985.aspx,"681 Bergen St, New York, NY 11238
"
"Pace University
",http://job-openings.monster.com/monster/c185b1f1-45de-4508-9e9e-3899e2631a2c,"9 Ploughmans Bush, New York, NY 10471
"
"Pace University
",http://job-openings.monster.com/monster/d119f449-71d9-4f97-b487-eb63a2fb3265,"45-44 42nd St, New York, NY 11104
"
"Baruch College
",http://job-openings.monster.com/monster/e5222f1c-fe56-49b2-814e-f8ee22382950,"4645 Independence Ave, New York, NY 10471
"
"Baruch College
",http://job-openings.monster.com/monster/9490cc3a-9fc5-4184-8cee-fcab71199860,"47-11 45th St, New York, NY 11377
"
"Manhattan College
",http://job-openings.monster.com/monster/58888d9a-78e6-4670-89d4-9eb29278dc81,"41-15 50th St, New York, NY 11377
"
"Pace University
",http://job-openings.monster.com/monster/510dd5a0-1dff-45f3-8834-0e39deb058b9,"4069 Dodgewood Rd, New York, NY 10471
"
"Manhattan College
",http://job-openings.monster.com/monster/49b0d1a4-5867-4f1a-904f-b7bb7b6792ba,"45-44 42nd St, New York, NY 11104
"
"Manhattan College
",http://job-openings.monster.com/monster/4fe43792-c69b-411b-a221-a79cd1632b41,"41-22 42nd St, New York, NY 11104
"
"Fordham University
",http://job-openings.monster.com/monster/42c41940-7778-44fa-97fe-2e57a1aaa126,"41-22 42nd St, New York, NY 11104
"
"Pace University
",http://job-openings.monster.com/monster/e64d86e1-0a98-4fb3-b8b0-8fddc54e4857,"32-19 76th St, New York, NY 11370
"
"Manhattan College
",http://job-openings.monster.com/monster/bb8d2276-eb44-41e2-962d-a4a48ab77735,"47-11 45th St, New York, NY 11377
"
"Manhattan College
",http://job-openings.monster.com/monster/25b9cbcc-be76-42b6-b49a-552c5a9008d3,"41-22 42nd St, New York, NY 11104
"
"Baruch College
",http://job-openings.monster.com/monster/84ceb28c-e6f2-4e98-a8c3-53d08db91016,"47-11 45th St, New York, NY 11377
"
