college,link,address
"Fordham University
",http://jobview.monster.com/Import-Clerk-Mandarin-Bilingual-Job-North-Bergen-NJ-US-169210041.aspx,"41-22 42nd St, New York, NY 11104
"
"Fordham University
",http://jobview.monster.com/Law-Clerk-MCO-Job-New-York-NY-US-168871235.aspx,"47-11 45th St, New York, NY 11377
"
"Fordham University
",http://jobview.monster.com/Accounts-Payable-Clerk-German-Fluency-Required-Job-New-York-NY-US-169699324.aspx,"4645 Independence Ave, New York, NY 10471
"
"Manhattan College
",http://jobview.monster.com/financial-services-financial-sales-job-melville-ny-us-164559057.aspx,"41-15 50th St, New York, NY 11377
"
"Fordham University
",http://jobview.monster.com/Teller-Cashier-Clerk-Brooklyn-NY-Job-New-York-NY-US-169709925.aspx,"45-44 42nd St, New York, NY 11104
"
"Manhattan College
",http://jobview.monster.com/Personal-Injury-Paralegal-Calendar-Clerk-Job-Mineola-NY-US-116319655.aspx,"4650 Hadley Ave, New York, NY 10471
"
"Manhattan College
",http://jobview.monster.com/Accounts-Payable-Clerk-Job-Manhattan-NY-US-169438692.aspx,"4069 Dodgewood Rd, New York, NY 10471
"
"Baruch College
",http://jobview.monster.com/Accounting-Clerk-Job-Union-NJ-US-112981597.aspx,"681 Bergen St, New York, NY 11238
"
"Baruch College
",http://jobview.monster.com/Leasing-Clerk-Residential-Job-New-York-City-NY-US-168608884.aspx,"153 Underhill Ave, New York, NY 11238
"
"Baruch College
",http://jobview.monster.com/Part-time-Accounting-Clerk-Job-Valley-Stream-NY-US-169481157.aspx,"47-11 45th St, New York, NY 11377
"
"Fordham University
",http://job-openings.monster.com/monster/3f63b236-5f67-4621-b058-6943d274934a,"47-11 45th St, New York, NY 11377
"
"Manhattan College
",http://job-openings.monster.com/monster/e5222f1c-fe56-49b2-814e-f8ee22382950,"4650 Hadley Ave, New York, NY 10471
"
"Pace University
",http://job-openings.monster.com/monster/00d6e0bf-4a27-42e9-ab0a-987a3dd4d411,"32-43 83rd St, New York, NY 11370
"
