college,type,resume,link,address
"Manhattan College
",New York,2,http://jobview.monster.com/File-Clerk-Receptionist-Job-Springfield-NJ-US-157206373.aspx,"32-19 76th St, New York, NY 11370
"
"Baruch College
",New York,3,http://jobview.monster.com/Returns-Room-Clerk-Job-Jersey-City-NJ-US-169394100.aspx,"32-19 76th St, New York, NY 11370
"
"Baruch College
",New York,7,http://jobview.monster.com/Entry-Level-Accounts-Payable-Clerk-Job-Garden-City-NY-US-168076279.aspx,"45-44 42nd St, New York, NY 11104
"
"Baruch College
",New York,2,http://jobview.monster.com/CLERK-LEVEL-1-Job-New-York-NY-US-168671515.aspx,"228 Lincoln Pl, New York, NY 11217
"
"Pace University
",New York,0,http://jobview.monster.com/Accounts-Payable-Clerk-Job-Jersey-City-NJ-US-169215329.aspx,"228 Lincoln Pl, New York, NY 11217
"
"Pace University
",New York,5,http://jobview.monster.com/Accounting-Clerk-Job-Clark-NJ-US-169177821.aspx,"288 Prospect Pl, New York, NY 11238
"
"Baruch College
",New York,5,http://jobview.monster.com/Stockroom-Clerk-Job-Rockleigh-NJ-US-169717667.aspx,"32-54 80th St, New York, NY 11370
"
"Pace University
",New York,3,http://jobview.monster.com/Customer-Service-Clerks-needed-for-Insurance-Benefits-Firms-temp-to-perm-Job-US-169687558.aspx,"4069 Dodgewood Rd, New York, NY 10471
"
"Pace University
",New York,2,http://job-openings.monster.com/monster/09977075-f7c4-4e8b-aa41-f35deaa2c9a6,"32-19 76th St, New York, NY 11370
"
"Fordham University
",New York,4,http://job-openings.monster.com/monster/09df6ee7-8cfb-4641-9edd-d7ee05e4c863,"4645 Independence Ave, New York, NY 10471
"
"Baruch College
",New York,1,http://job-openings.monster.com/monster/68877e70-53ec-45a5-80cd-04453bbe6620,"681 Bergen St, New York, NY 11238
"
"Fordham University
",New York,0,http://job-openings.monster.com/monster/c2891432-e5f6-4c1c-8396-978fdfd4e804,"4069 Dodgewood Rd, New York, NY 10471
"
"Baruch College
",New York,2,http://job-openings.monster.com/monster/c82d7d33-6ba3-416f-ad9f-523549e3d9ea,"47-11 45th St, New York, NY 11377
"
"Manhattan College
",New York,5,http://job-openings.monster.com/monster/e335e1ea-fae8-4055-8168-6466dd4c6f07,"41-22 42nd St, New York, NY 11104
"
"Baruch College
",New York,7,http://job-openings.monster.com/monster/0b2a8ac4-504e-4b4e-a5be-1abd677986b3,"4069 Dodgewood Rd, New York, NY 10471
"
"Pace University
",New York,3,http://job-openings.monster.com/monster/787b7a0b-3f01-46ed-981c-82e893c6eaa5,"4069 Dodgewood Rd, New York, NY 10471
"
"Baruch College
",New York,2,http://job-openings.monster.com/monster/bb8d2276-eb44-41e2-962d-a4a48ab77735,"153 Underhill Ave, New York, NY 11238
"
"Pace University
",New York,2,http://job-openings.monster.com/monster/9b75176b-eef1-48c5-98ee-7089dddcde69,"4645 Independence Ave, New York, NY 10471
"
"Manhattan College
",New York,1,http://job-openings.monster.com/monster/e5edb620-01fe-4b29-9140-8cdbee154468,"32-19 76th St, New York, NY 11370
"
"Fordham University
",New York,3,http://job-openings.monster.com/monster/c5e1b52e-689b-48c0-9d06-ffa6436aadff,"41-15 50th St, New York, NY 11377
"
"Manhattan College
",New York,0,http://job-openings.monster.com/monster/a6eddbe4-da73-463a-8d47-b2a181cc0bb2,"288 Prospect Pl, New York, NY 11238
"
"Baruch College
",New York,7,http://job-openings.monster.com/monster/bdc007c0-ef37-4cdf-abbe-cf8a79426cf7,"681 Bergen St, New York, NY 11238
"
"Fordham University
",New York,0,http://job-openings.monster.com/monster/080ba561-b457-4b71-b2c9-38c2f0ecc536,"4069 Dodgewood Rd, New York, NY 10471
"
"Baruch College
",New York,6,http://job-openings.monster.com/monster/c66aa4bb-7ddc-4310-89d3-8bcab3a0711a,"288 Prospect Pl, New York, NY 11238
"
"Manhattan College
",New York,3,http://job-openings.monster.com/monster/0288477d-8b29-41e1-baf7-1330bafd36a8,"9 Ploughmans Bush, New York, NY 10471
"
"Baruch College
",New York,0,http://job-openings.monster.com/monster/63adc08b-6002-41cc-8571-f6e064d1aff3,"32-54 80th St, New York, NY 11370
"
"Manhattan College
",New York,1,http://job-openings.monster.com/monster/7ad3e4c9-c4fb-46ee-8eca-18af5a565601,"228 Lincoln Pl, New York, NY 11217
"
"Fordham University
",New York,2,http://job-openings.monster.com/monster/4cf4e12d-9b49-44da-ad88-ca034d3d913b,"9 Ploughmans Bush, New York, NY 10471
"
"Manhattan College
",New York,1,http://job-openings.monster.com/monster/32a03e8a-9fa7-4e5e-918e-cc80717e9e69,"45-44 42nd St, New York, NY 11104
"
"Manhattan College
",New York,6,http://job-openings.monster.com/monster/ae07693a-ba66-4722-8050-a7c7a124f3d7,"4650 Hadley Ave, New York, NY 10471
"
"Baruch College
",New York,4,http://job-openings.monster.com/monster/2d47f6d7-8b24-49f5-869f-035e7dbdca54,"47-11 45th St, New York, NY 11377
"
"Pace University
",New York,6,http://job-openings.monster.com/monster/d989dc6d-f79d-4c19-bef4-3511220ab13e,"47-11 45th St, New York, NY 11377
"
"Manhattan College
",New York,5,http://job-openings.monster.com/monster/9812389b-4569-4114-86a5-5c3a3ec17951,"4650 Hadley Ave, New York, NY 10471
"
"Fordham University
",New York,7,http://job-openings.monster.com/monster/5c7e11b9-d6dc-4bed-93b0-2de45e00f8fc,"41-15 50th St, New York, NY 11377
"
"Baruch College
",New York,4,http://job-openings.monster.com/monster/412a74b5-144f-4451-a63e-dc571a8709cc,"47-11 45th St, New York, NY 11377
"
"Fordham University
",New York,5,http://job-openings.monster.com/monster/d009cec1-5e0f-4907-8171-48feff03f040,"32-54 82nd St, New York, NY 11370
"
"Manhattan College
",New York,5,http://job-openings.monster.com/monster/56e969ea-ad0b-4db7-a954-f25cca5c0711,"228 Lincoln Pl, New York, NY 11217
"
"Manhattan College
",New York,7,http://job-openings.monster.com/monster/3f2376c8-5962-43e9-9b4e-1c7b8ca5c911,"31-23 80th St, New York, NY 11370
"
"Baruch College
",New York,3,http://job-openings.monster.com/monster/b49cd008-7451-4199-b352-22e3ddf6db04,"45-44 42nd St, New York, NY 11104
"
"Baruch College
",New York,5,http://job-openings.monster.com/monster/e24c5c48-0d6b-4355-bd0b-3748b5942b67,"4650 Hadley Ave, New York, NY 10471
"
"Manhattan College
",New York,5,http://job-openings.monster.com/monster/1217abaa-8ffd-4ce9-beac-ee21e70609d5,"288 Prospect Pl, New York, NY 11238
"
"Fordham University
",New York,0,http://job-openings.monster.com/monster/b7a9afd4-87e6-4fbe-bdfc-811ed99db1ee,"31-23 80th St, New York, NY 11370
"
"Manhattan College
",New York,0,http://job-openings.monster.com/monster/7a041b73-be97-4779-873d-bb866ef3ab79,"228 Lincoln Pl, New York, NY 11217
"
"Fordham University
",New York,2,http://job-openings.monster.com/monster/6c225617-5f49-41d4-badd-c24e84bb507f,"228 Lincoln Pl, New York, NY 11217
"
"Manhattan College
",New York,7,http://job-openings.monster.com/monster/bb49bca1-f9e0-431a-bb30-97f7bdf44441,"41-22 42nd St, New York, NY 11104
"
"Manhattan College
",New York,1,http://job-openings.monster.com/monster/92349afe-65e1-4814-bce6-a4022b07264b,"31-23 80th St, New York, NY 11370
"
"Pace University
",New York,3,http://job-openings.monster.com/monster/39c774c4-c0e5-4e87-a4a2-43dfbe947435,"4600 Palisade Ave, New York, NY 10471
"
"Pace University
",New York,5,http://job-openings.monster.com/monster/00f022b8-eb84-40df-a15b-275e82d8abe5,"32-54 82nd St, New York, NY 11370
"
