college,type,resume,link,address
"Pace University
",New York,1,http://jobview.monster.com/Accounts-Payable-Clerk-Job-Springfield-NJ-US-121758416.aspx,"9 Ploughmans Bush, New York, NY 10471
"
"Fordham University
",New York,0,http://jobview.monster.com/Accounting-Payroll-Clerk-Job-Astoria-NY-US-167754806.aspx,"153 Underhill Ave, New York, NY 11238
"
"Pace University
",New York,5,http://jobview.monster.com/Accounts-Payable-Clerk-Job-New-Rochelle-NY-US-169550471.aspx,"9 Ploughmans Bush, New York, NY 10471
"
"Manhattan College
",New York,6,http://jobview.monster.com/Accounts-Payable-Clerk-Job-Elizabeth-NJ-US-114301403.aspx,"4650 Hadley Ave, New York, NY 10471
"
"Pace University
",New York,1,http://jobview.monster.com/Unit-Clerk-Bilingual-Spanish-Job-Manhattan-NY-US-168908479.aspx,"32-54 82nd St, New York, NY 11370
"
"Manhattan College
",New York,2,http://job-openings.monster.com/monster/f91236c5-b108-4d2e-b39c-17b6bb3dc9fb,"45-44 42nd St, New York, NY 11104
"
"Baruch College
",New York,7,http://job-openings.monster.com/monster/e145835b-cd24-4b42-8850-d0137d6c24d0,"32-19 76th St, New York, NY 11370
"
"Fordham University
",New York,2,http://job-openings.monster.com/monster/90dafd1a-8d1d-41f7-baae-fb9fb61ebe8b,"32-54 82nd St, New York, NY 11370
"
"Pace University
",New York,5,http://job-openings.monster.com/monster/8a4063bf-d934-4b39-a96c-b35dd530fbaa,"32-54 82nd St, New York, NY 11370
"
"Pace University
",New York,3,http://job-openings.monster.com/monster/9490cc3a-9fc5-4184-8cee-fcab71199860,"681 Bergen St, New York, NY 11238
"
"Manhattan College
",New York,1,http://job-openings.monster.com/monster/fac71a0c-2aa3-4bc4-97d9-6a1e742a6505,"4600 Palisade Ave, New York, NY 10471
"
"Fordham University
",New York,3,http://job-openings.monster.com/monster/814b5b22-c7f9-4bf3-8e02-ab4cf4fbbbb5,"41-22 42nd St, New York, NY 11104
"
"Manhattan College
",New York,4,http://job-openings.monster.com/monster/0bd887fc-9676-444f-a6a8-b7ff5bb92252,"32-43 83rd St, New York, NY 11370
"
"Fordham University
",New York,0,http://job-openings.monster.com/monster/3fb8bd65-f23e-40d4-b7b8-cbfcd8189005,"41-22 42nd St, New York, NY 11104
"
"Pace University
",New York,4,http://job-openings.monster.com/monster/db7cfb64-b843-4391-8de7-35c8e3502fa0,"41-22 42nd St, New York, NY 11104
"
