college,link,address
"Baruch College
",http://jobview.monster.com/Purchasing-Clerk-%E2%80%93-Buyer-Job-Brooklyn-NY-US-168820287.aspx,"31-23 80th St, New York, NY 11370
"
"Fordham University
",http://jobview.monster.com/Returns-Room-Clerk-Job-Jersey-City-NJ-US-169394100.aspx,"41-46 50th St, New York, NY 11377
"
"Pace University
",http://jobview.monster.com/Court-Clerk-Job-New-York-NY-US-169202917.aspx,"9 Ploughmans Bush, New York, NY 10471
"
"Pace University
",http://jobview.monster.com/Patent-Docket-Clerk-Job-Newark-NJ-US-168179779.aspx,"41-15 50th St, New York, NY 11377
"
"Fordham University
",http://job-openings.monster.com/monster/031037d1-a3ca-44c0-8c3f-85c7a476ce01,"31-23 80th St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/09df6ee7-8cfb-4641-9edd-d7ee05e4c863,"31-23 80th St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/6be6fb87-f0a4-49ef-aee9-e20668cdf1d3,"32-54 82nd St, New York, NY 11370
"
"Manhattan College
",http://job-openings.monster.com/monster/7bee5c50-c130-436d-a869-00e6a5320974,"288 Prospect Pl, New York, NY 11238
"
"Pace University
",http://job-openings.monster.com/monster/7c0af753-14b1-4e1d-b074-341437e88dd8,"32-54 80th St, New York, NY 11370
"
"Manhattan College
",http://job-openings.monster.com/monster/510dd5a0-1dff-45f3-8834-0e39deb058b9,"153 Underhill Ave, New York, NY 11238
"
"Fordham University
",http://job-openings.monster.com/monster/dfd5bae7-90c7-4613-8abf-4d1aa1a79502,"288 Prospect Pl, New York, NY 11238
"
"Manhattan College
",http://job-openings.monster.com/monster/3fb8bd65-f23e-40d4-b7b8-cbfcd8189005,"4645 Independence Ave, New York, NY 10471
"
"Fordham University
",http://job-openings.monster.com/monster/e335e1ea-fae8-4055-8168-6466dd4c6f07,"41-22 42nd St, New York, NY 11104
"
"Baruch College
",http://job-openings.monster.com/monster/4fe43792-c69b-411b-a221-a79cd1632b41,"41-46 50th St, New York, NY 11377
"
"Baruch College
",http://job-openings.monster.com/monster/e64d86e1-0a98-4fb3-b8b0-8fddc54e4857,"32-54 82nd St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/6bea3f1c-ff42-4590-99f8-a9cb433ce488,"41-15 50th St, New York, NY 11377
"
"Pace University
",http://job-openings.monster.com/monster/108f1e8a-713b-4697-8eab-786ba286a31c,"4650 Hadley Ave, New York, NY 10471
"
"Baruch College
",http://job-openings.monster.com/monster/43ad0304-512a-42cc-880e-0921b5ad3e99,"9 Ploughmans Bush, New York, NY 10471
"
"Manhattan College
",http://job-openings.monster.com/monster/678201fe-ef34-4cd0-ba87-03492b3b70ab,"228 Lincoln Pl, New York, NY 11217
"
"Baruch College
",http://job-openings.monster.com/monster/11a2e500-2109-4a9a-8e8a-f5e620ceac8c,"41-46 50th St, New York, NY 11377
"
"Baruch College
",http://job-openings.monster.com/monster/c988717c-0378-45b7-a7cd-9c1f270c5a1b,"32-19 76th St, New York, NY 11370
"
"Baruch College
",http://job-openings.monster.com/monster/7ad3e4c9-c4fb-46ee-8eca-18af5a565601,"41-46 50th St, New York, NY 11377
"
"Fordham University
",http://job-openings.monster.com/monster/5f854db2-c3a5-40d9-bf9f-b8f262d5addf,"47-11 45th St, New York, NY 11377
"
"Fordham University
",http://job-openings.monster.com/monster/d989dc6d-f79d-4c19-bef4-3511220ab13e,"228 Lincoln Pl, New York, NY 11217
"
"Manhattan College
",http://job-openings.monster.com/monster/681c7c7d-57d6-4685-bb57-78ff96de3a46,"4069 Dodgewood Rd, New York, NY 10471
"
"Baruch College
",http://job-openings.monster.com/monster/689c0936-6183-473c-9cf9-ff924127aa83,"32-43 83rd St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/232b2b1f-a497-452f-9d14-e6fa62a56755,"31-23 80th St, New York, NY 11370
"
"Manhattan College
",http://job-openings.monster.com/monster/b49cd008-7451-4199-b352-22e3ddf6db04,"41-15 50th St, New York, NY 11377
"
"Baruch College
",http://job-openings.monster.com/monster/7c1807b0-62da-4aa5-86f7-1acbd35565a2,"32-54 80th St, New York, NY 11370
"
"Fordham University
",http://job-openings.monster.com/monster/5321ce39-dd42-4ee2-a383-09b4a19fa9e4,"41-22 42nd St, New York, NY 11104
"
"Fordham University
",http://job-openings.monster.com/monster/7c56f5ea-31dc-4d3e-883c-a5bf889df142,"47-11 45th St, New York, NY 11377
"
"Fordham University
",http://job-openings.monster.com/monster/979bd5f2-a2b1-4dd4-ba36-f9c95ab01b48,"681 Bergen St, New York, NY 11238
"
