college,type,resume,link,address
"Fordham University
",New York,7,http://jobview.monster.com/Export-Clerk-Job-Lawrence-NY-US-169471759.aspx,"32-54 80th St, New York, NY 11370
"
"Baruch College
",New York,7,http://jobview.monster.com/Patent-Docket-Clerk-Job-Newark-NJ-US-168179779.aspx,"4645 Independence Ave, New York, NY 10471
"
"Manhattan College
",New York,3,http://jobview.monster.com/Accounting-Clerk-Job-New-York-City-NY-US-169435709.aspx,"32-54 80th St, New York, NY 11370
"
"Fordham University
",New York,7,http://jobview.monster.com/Personal-Injury-Paralegal-Calendar-Clerk-Job-Mineola-NY-US-116319655.aspx,"31-23 80th St, New York, NY 11370
"
"Baruch College
",New York,1,http://job-openings.monster.com/monster/031037d1-a3ca-44c0-8c3f-85c7a476ce01,"47-11 45th St, New York, NY 11377
"
"Pace University
",New York,1,http://job-openings.monster.com/monster/92f2d06a-04a9-4706-8d39-83b33510bb98,"4069 Dodgewood Rd, New York, NY 10471
"
"Pace University
",New York,3,http://job-openings.monster.com/monster/dc58950b-69c3-49a6-b356-4c550f7d6fe8,"153 Underhill Ave, New York, NY 11238
"
"Fordham University
",New York,2,http://jobview.monster.com/Unit-Clerk-Bilingual-Spanish-Job-Manhattan-NY-US-168908479.aspx,"228 Lincoln Pl, New York, NY 11217
"
"Manhattan College
",New York,4,http://jobview.monster.com/Accounts-Payable-Clerk-Job-Iselin-NJ-US-116567322.aspx,"32-19 76th St, New York, NY 11370
"
"Pace University
",New York,2,http://job-openings.monster.com/monster/d7f963cc-2669-43d5-a605-caba6d79a5ec,"153 Underhill Ave, New York, NY 11238
"
"Baruch College
",New York,7,http://job-openings.monster.com/monster/0514d000-6a13-46a0-885c-1d90e8aec468,"288 Prospect Pl, New York, NY 11238
"
"Baruch College
",New York,1,http://job-openings.monster.com/monster/3f63b236-5f67-4621-b058-6943d274934a,"32-54 82nd St, New York, NY 11370
"
"Manhattan College
",New York,0,http://job-openings.monster.com/monster/920f8a7d-bbbd-4242-a0f5-c631a7a4601e,"288 Prospect Pl, New York, NY 11238
"
"Fordham University
",New York,7,http://job-openings.monster.com/monster/6be6fb87-f0a4-49ef-aee9-e20668cdf1d3,"153 Underhill Ave, New York, NY 11238
"
"Pace University
",New York,5,http://job-openings.monster.com/monster/28a19dbb-65ae-40b3-a993-60c7276ac8c7,"4645 Independence Ave, New York, NY 10471
"
"Baruch College
",New York,6,http://job-openings.monster.com/monster/e89ce296-33ab-4d2c-9c9d-62870a98d063,"47-11 45th St, New York, NY 11377
"
"Manhattan College
",New York,1,http://job-openings.monster.com/monster/99b7e2a3-79da-4c65-b8f3-a4c2c1c5b423,"41-22 42nd St, New York, NY 11104
"
"Fordham University
",New York,7,http://job-openings.monster.com/monster/0e733fce-55ad-4230-af74-ba5897219486,"31-23 80th St, New York, NY 11370
"
"Baruch College
",New York,0,http://job-openings.monster.com/monster/78f80377-e8a1-4af0-b387-c52c19237825,"681 Bergen St, New York, NY 11238
"
"Manhattan College
",New York,0,http://job-openings.monster.com/monster/42c41940-7778-44fa-97fe-2e57a1aaa126,"45-44 42nd St, New York, NY 11104
"
