college,type,resume,link,address
"Baruch College
",New York,1,http://jobview.monster.com/Senior-Mail-Clerk-Job-Newark-NJ-US-169165579.aspx,"288 Prospect Pl, New York, NY 11238
"
"Fordham University
",New York,3,http://jobview.monster.com/Customer-Service-Inventory-Clerk-Job-North-Bergen-NJ-US-158952151.aspx,"4069 Dodgewood Rd, New York, NY 10471
"
"Manhattan College
",New York,0,http://jobview.monster.com/Import-Clerk-Mandarin-Bilingual-Job-North-Bergen-NJ-US-169210041.aspx,"32-43 83rd St, New York, NY 11370
"
"Manhattan College
",New York,1,http://jobview.monster.com/Teller-Cashier-Clerk-Brooklyn-NY-Job-New-York-NY-US-169709925.aspx,"41-22 42nd St, New York, NY 11104
"
"Manhattan College
",New York,2,http://jobview.monster.com/Accounts-Receivable-Clerk-Job-Bronx-NY-US-169732997.aspx,"4645 Independence Ave, New York, NY 10471
"
"Fordham University
",New York,3,http://jobview.monster.com/Accounting-Clerk-Job-River-Edge-NJ-US-168337018.aspx,"45-44 42nd St, New York, NY 11104
"
"Manhattan College
",New York,2,http://jobview.monster.com/Accounts-Payable-Clerk-Job-Secaucus-NJ-US-121497909.aspx,"31-23 80th St, New York, NY 11370
"
"Baruch College
",New York,7,http://job-openings.monster.com/monster/e76387ce-af22-4d84-a04f-e90efb85ac52,"288 Prospect Pl, New York, NY 11238
"
"Baruch College
",New York,7,http://job-openings.monster.com/monster/70ea7e06-4e7a-4947-ad0b-b12063d24671,"32-19 76th St, New York, NY 11370
"
"Manhattan College
",New York,0,http://job-openings.monster.com/monster/60205b58-b53c-4007-9b29-916124edf6b6,"153 Underhill Ave, New York, NY 11238
"
"Baruch College
",New York,5,http://job-openings.monster.com/monster/b24e7305-3381-4c0f-8afc-08fb97d826a6,"41-22 42nd St, New York, NY 11104
"
"Fordham University
",New York,0,http://job-openings.monster.com/monster/49b0d1a4-5867-4f1a-904f-b7bb7b6792ba,"47-11 45th St, New York, NY 11377
"
"Baruch College
",New York,5,http://job-openings.monster.com/monster/f90b114b-28c1-4261-bb7b-0b1c1a1e5148,"32-43 83rd St, New York, NY 11370
"
