college,type,resume,link,address
"Manhattan College
",New York,3,http://jobview.monster.com/Merchandise-Data-Operations-Item-Entry-Clerical-Job-Union-NJ-US-167895338.aspx,"45-44 42nd St, New York, NY 11104
"
"Fordham University
",New York,3,http://jobview.monster.com/Mail-Clerk-Job-New-York-City-NY-US-167901040.aspx,"32-54 82nd St, New York, NY 11370
"
"Fordham University
",New York,3,http://jobview.monster.com/File-Clerk-Receptionist-Job-Springfield-NJ-US-157206373.aspx,"31-23 80th St, New York, NY 11370
"
"Pace University
",New York,2,http://jobview.monster.com/Accounts-Payable-Clerk-with-Insurance-Background-Job-Garden-City-NY-US-169427405.aspx,"32-54 82nd St, New York, NY 11370
"
"Fordham University
",New York,6,http://job-openings.monster.com/monster/fc17c7a2-0016-46e0-a44a-52a18394eaeb,"32-43 83rd St, New York, NY 11370
"
"Manhattan College
",New York,4,http://job-openings.monster.com/monster/68877e70-53ec-45a5-80cd-04453bbe6620,"4069 Dodgewood Rd, New York, NY 10471
"
"Pace University
",New York,1,http://job-openings.monster.com/monster/c2891432-e5f6-4c1c-8396-978fdfd4e804,"681 Bergen St, New York, NY 11238
"
"Manhattan College
",New York,4,http://job-openings.monster.com/monster/c185b1f1-45de-4508-9e9e-3899e2631a2c,"4645 Independence Ave, New York, NY 10471
"
"Fordham University
",New York,0,http://job-openings.monster.com/monster/70ea7e06-4e7a-4947-ad0b-b12063d24671,"41-46 50th St, New York, NY 11377
"
"Pace University
",New York,4,http://job-openings.monster.com/monster/b24e7305-3381-4c0f-8afc-08fb97d826a6,"41-15 50th St, New York, NY 11377
"
"Baruch College
",New York,7,http://job-openings.monster.com/monster/06b5e30d-bf21-476b-804e-136dbcccd8f6,"228 Lincoln Pl, New York, NY 11217
"
"Pace University
",New York,1,http://job-openings.monster.com/monster/e335e1ea-fae8-4055-8168-6466dd4c6f07,"31-23 80th St, New York, NY 11370
"
"Pace University
",New York,4,http://job-openings.monster.com/monster/2833f517-860d-412e-bf51-157af7bb34f4,"32-54 82nd St, New York, NY 11370
"
"Pace University
",New York,1,http://job-openings.monster.com/monster/0e733fce-55ad-4230-af74-ba5897219486,"32-43 83rd St, New York, NY 11370
"
"Pace University
",New York,6,http://job-openings.monster.com/monster/78f80377-e8a1-4af0-b387-c52c19237825,"4600 Palisade Ave, New York, NY 10471
"
"Manhattan College
",New York,3,http://job-openings.monster.com/monster/a8312301-6d0e-4d33-8975-41d745d55bd0,"45-44 42nd St, New York, NY 11104
"
"Fordham University
",New York,1,http://job-openings.monster.com/monster/3f329ca3-2ca5-4171-977e-f628caee91e9,"4650 Hadley Ave, New York, NY 10471
"
"Pace University
",New York,2,http://job-openings.monster.com/monster/e5edb620-01fe-4b29-9140-8cdbee154468,"4069 Dodgewood Rd, New York, NY 10471
"
"Fordham University
",New York,1,http://job-openings.monster.com/monster/06d3b0c7-8a9b-4d65-84f3-ec256572084e,"32-43 83rd St, New York, NY 11370
"
"Manhattan College
",New York,6,http://job-openings.monster.com/monster/08da5193-9e0a-40d7-8d7f-633b63384263,"228 Lincoln Pl, New York, NY 11217
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/5d9773de-1d27-4bed-a9d7-e31f419a850b,"228 Lincoln Pl, New York, NY 11217
"
