college,type,resume,link,address
"Pace University
",New York,4,http://jobview.monster.com/Merchandise-Data-Operations-Item-Entry-Clerical-Job-Union-NJ-US-167895338.aspx,"41-15 50th St, New York, NY 11377
"
"Fordham University
",New York,1,http://jobview.monster.com/Purchasing-Clerk-%E2%80%93-Buyer-Job-Brooklyn-NY-US-168820287.aspx,"153 Underhill Ave, New York, NY 11238
"
"Manhattan College
",New York,4,http://jobview.monster.com/Payroll-Clerk-Job-Bronx-NY-US-169514826.aspx,"41-15 50th St, New York, NY 11377
"
"Pace University
",New York,6,http://jobview.monster.com/Accounts-Payable-Clerk-Admin-Job-Manhattan-NY-US-169438694.aspx,"41-15 50th St, New York, NY 11377
"
"Baruch College
",New York,3,http://jobview.monster.com/Accounts-Receivable-Clerk-Job-Carlstadt-NJ-US-168038758.aspx,"9 Ploughmans Bush, New York, NY 10471
"
"Pace University
",New York,4,http://jobview.monster.com/Law-Clerk-MCO-Job-New-York-NY-US-168871235.aspx,"31-23 80th St, New York, NY 11370
"
"Fordham University
",New York,7,http://jobview.monster.com/Accounts-Receivable-Clerk-Job-Manhattan-NY-US-168658899.aspx,"31-23 80th St, New York, NY 11370
"
"Baruch College
",New York,2,http://jobview.monster.com/Accounting-Clerk-Job-New-York-City-NY-US-169435709.aspx,"41-15 50th St, New York, NY 11377
"
"Baruch College
",New York,2,http://jobview.monster.com/Personal-Injury-Paralegal-Calendar-Clerk-Job-Mineola-NY-US-116319655.aspx,"47-11 45th St, New York, NY 11377
"
"Pace University
",New York,6,http://job-openings.monster.com/monster/031037d1-a3ca-44c0-8c3f-85c7a476ce01,"4645 Independence Ave, New York, NY 10471
"
"Fordham University
",New York,0,http://job-openings.monster.com/monster/65e43be5-e504-4ec1-832d-60cd14ffeb9b,"41-46 50th St, New York, NY 11377
"
"Pace University
",New York,3,http://job-openings.monster.com/monster/728d0baf-05aa-4577-bd60-b2555683d9fd,"41-15 50th St, New York, NY 11377
"
"Manhattan College
",New York,7,http://job-openings.monster.com/monster/cbe14b17-43d6-4259-9e67-69284189b7bb,"32-54 82nd St, New York, NY 11370
"
"Fordham University
",New York,4,http://job-openings.monster.com/monster/60205b58-b53c-4007-9b29-916124edf6b6,"4650 Hadley Ave, New York, NY 10471
"
"Manhattan College
",New York,1,http://job-openings.monster.com/monster/28a19dbb-65ae-40b3-a993-60c7276ac8c7,"31-23 80th St, New York, NY 11370
"
"Manhattan College
",New York,7,http://job-openings.monster.com/monster/b056dcc1-fc56-44ce-8c2d-5050496927e0,"4069 Dodgewood Rd, New York, NY 10471
"
"Fordham University
",New York,0,http://job-openings.monster.com/monster/b2c7ee3e-5de3-42f3-af64-070993bf6247,"47-11 45th St, New York, NY 11377
"
"Fordham University
",New York,4,http://job-openings.monster.com/monster/0c0cac98-fcc2-460b-b17e-1f6115848624,"4650 Hadley Ave, New York, NY 10471
"
"Fordham University
",New York,6,http://job-openings.monster.com/monster/c7e724ea-007c-418e-b62d-04a4e77854b7,"153 Underhill Ave, New York, NY 11238
"
"Baruch College
",New York,2,http://job-openings.monster.com/monster/99b7e2a3-79da-4c65-b8f3-a4c2c1c5b423,"4069 Dodgewood Rd, New York, NY 10471
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/a8312301-6d0e-4d33-8975-41d745d55bd0,"4600 Palisade Ave, New York, NY 10471
"
"Manhattan College
",New York,0,http://job-openings.monster.com/monster/fd34a9aa-a43a-4968-924b-47d3f32de84c,"32-19 76th St, New York, NY 11370
"
"Fordham University
",New York,3,http://job-openings.monster.com/monster/43ad0304-512a-42cc-880e-0921b5ad3e99,"32-43 83rd St, New York, NY 11370
"
"Fordham University
",New York,5,http://job-openings.monster.com/monster/ef6d797c-5f52-4bd7-9813-e19cbda474ff,"32-19 76th St, New York, NY 11370
"
"Fordham University
",New York,1,http://job-openings.monster.com/monster/6e4e3199-f9d4-4320-aa9f-6b20027c5e8a,"9 Ploughmans Bush, New York, NY 10471
"
"Pace University
",New York,4,http://job-openings.monster.com/monster/4a8e6bbc-ddce-4139-99d2-b02faa209799,"9 Ploughmans Bush, New York, NY 10471
"
"Manhattan College
",New York,7,http://job-openings.monster.com/monster/06d3b0c7-8a9b-4d65-84f3-ec256572084e,"47-11 45th St, New York, NY 11377
"
"Manhattan College
",New York,3,http://job-openings.monster.com/monster/579a3c7b-04da-4936-b829-7935d570a691,"47-11 45th St, New York, NY 11377
"
"Fordham University
",New York,7,http://job-openings.monster.com/monster/f4b804f1-1f1c-4250-be3a-5c32f06bdc79,"47-11 45th St, New York, NY 11377
"
"Fordham University
",New York,6,http://job-openings.monster.com/monster/22ad6bd1-12e0-463b-8da3-c708dc57313d,"228 Lincoln Pl, New York, NY 11217
"
"Baruch College
",New York,1,http://job-openings.monster.com/monster/80527f61-4df2-4836-965c-9bb1ae6f9b60,"32-54 80th St, New York, NY 11370
"
"Pace University
",New York,5,http://job-openings.monster.com/monster/c72d5495-66df-479e-915f-a45b76daf836,"9 Ploughmans Bush, New York, NY 10471
"
"Manhattan College
",New York,5,http://job-openings.monster.com/monster/26318195-9024-4160-82f0-ade096666a12,"4069 Dodgewood Rd, New York, NY 10471
"
"Baruch College
",New York,4,http://job-openings.monster.com/monster/bf0f2bb8-7413-4106-a10f-09a100858d5a,"32-19 76th St, New York, NY 11370
"
"Manhattan College
",New York,7,http://job-openings.monster.com/monster/9230e301-8c79-4e74-94fc-8fb165ca61df,"45-44 42nd St, New York, NY 11104
"
"Baruch College
",New York,2,http://job-openings.monster.com/monster/5f854db2-c3a5-40d9-bf9f-b8f262d5addf,"31-23 80th St, New York, NY 11370
"
"Manhattan College
",New York,3,http://job-openings.monster.com/monster/a405da74-f6dd-4468-8f97-70d291e2df1b,"47-11 45th St, New York, NY 11377
"
"Manhattan College
",New York,0,http://job-openings.monster.com/monster/689c0936-6183-473c-9cf9-ff924127aa83,"288 Prospect Pl, New York, NY 11238
"
"Baruch College
",New York,3,http://job-openings.monster.com/monster/1d414665-17ea-483b-b3c7-8d50f11d8f76,"41-15 50th St, New York, NY 11377
"
"Baruch College
",New York,5,http://job-openings.monster.com/monster/9afc8350-eafc-4963-83a0-688ee387bc6e,"4600 Palisade Ave, New York, NY 10471
"
"Baruch College
",New York,0,http://job-openings.monster.com/monster/c155eb73-d0a1-4828-934a-a18e96120a6b,"31-23 80th St, New York, NY 11370
"
"Pace University
",New York,7,http://job-openings.monster.com/monster/f234c03a-5a20-42ab-b129-aa5a15442fbc,"45-44 42nd St, New York, NY 11104
"
"Baruch College
",New York,1,http://job-openings.monster.com/monster/91315d7b-9835-4519-828a-704b809c208e,"41-22 42nd St, New York, NY 11104
"
