college,type,resume,link,address
"Pace University
",New York,7,http://jobview.monster.com/Payroll-Clerk-Job-Bronx-NY-US-169514826.aspx,"32-19 76th St, New York, NY 11370
"
"Pace University
",New York,3,http://jobview.monster.com/Intellectual-Property-IP-Docketing-Clerk-Job-Franklin-Lakes-NJ-US-169745705.aspx,"47-11 45th St, New York, NY 11377
"
"Baruch College
",New York,0,http://jobview.monster.com/Accounts-Payable-Clerk-Admin-Job-Manhattan-NY-US-169438694.aspx,"32-54 82nd St, New York, NY 11370
"
"Baruch College
",New York,7,http://jobview.monster.com/Accounts-Payable-Clerk-German-Fluency-Required-Job-New-York-NY-US-169699324.aspx,"153 Underhill Ave, New York, NY 11238
"
"Pace University
",New York,6,http://jobview.monster.com/Accounting-Clerk-Job-New-York-City-NY-US-169074411.aspx,"32-43 83rd St, New York, NY 11370
"
"Baruch College
",New York,0,http://jobview.monster.com/Accounts-Receivable-Clerk-Job-Manhattan-NY-US-168658899.aspx,"41-22 42nd St, New York, NY 11104
"
"Baruch College
",New York,7,http://jobview.monster.com/human-resources-administrative-assistant-job-us-167798850.aspx,"32-54 82nd St, New York, NY 11370
"
"Pace University
",New York,0,http://jobview.monster.com/File-Clerk-Manhassat-NY-Job-Manhasset-NY-US-169298517.aspx,"32-54 80th St, New York, NY 11370
"
"Pace University
",New York,3,http://job-openings.monster.com/monster/c82d7d33-6ba3-416f-ad9f-523549e3d9ea,"9 Ploughmans Bush, New York, NY 10471
"
"Fordham University
",New York,3,http://jobview.monster.com/Accounting-Clerk-Job-Union-NJ-US-112981597.aspx,"9 Ploughmans Bush, New York, NY 10471
"
"Fordham University
",New York,1,http://jobview.monster.com/Accounts-Payable-Clerk-Job-Edison-NJ-US-148116282.aspx,"4645 Independence Ave, New York, NY 10471
"
"Fordham University
",New York,3,http://job-openings.monster.com/monster/1e772d06-27bb-434b-b448-859503539ea0,"4600 Palisade Ave, New York, NY 10471
"
"Fordham University
",New York,1,http://job-openings.monster.com/monster/58888d9a-78e6-4670-89d4-9eb29278dc81,"32-43 83rd St, New York, NY 11370
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/99b7e2a3-79da-4c65-b8f3-a4c2c1c5b423,"41-46 50th St, New York, NY 11377
"
"Fordham University
",New York,6,http://job-openings.monster.com/monster/41e482c1-90bb-424a-b05a-c067154c28f9,"288 Prospect Pl, New York, NY 11238
"
"Pace University
",New York,2,http://job-openings.monster.com/monster/4d373289-73b2-4eba-9647-a16afe6caf82,"681 Bergen St, New York, NY 11238
"
"Manhattan College
",New York,3,http://job-openings.monster.com/monster/e64d86e1-0a98-4fb3-b8b0-8fddc54e4857,"228 Lincoln Pl, New York, NY 11217
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/39377e55-777b-45fc-8c29-9102d44a2ed2,"31-23 80th St, New York, NY 11370
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/43ad0304-512a-42cc-880e-0921b5ad3e99,"4645 Independence Ave, New York, NY 10471
"
"Fordham University
",New York,7,http://job-openings.monster.com/monster/4aa0edd2-dc48-4c87-af7b-ff6df53ce282,"153 Underhill Ave, New York, NY 11238
"
"Pace University
",New York,1,http://job-openings.monster.com/monster/ef6d797c-5f52-4bd7-9813-e19cbda474ff,"153 Underhill Ave, New York, NY 11238
"
"Manhattan College
",New York,6,http://job-openings.monster.com/monster/6e4e3199-f9d4-4320-aa9f-6b20027c5e8a,"681 Bergen St, New York, NY 11238
"
"Pace University
",New York,6,http://job-openings.monster.com/monster/c5e1b52e-689b-48c0-9d06-ffa6436aadff,"153 Underhill Ave, New York, NY 11238
"
"Pace University
",New York,4,http://job-openings.monster.com/monster/579a3c7b-04da-4936-b829-7935d570a691,"4645 Independence Ave, New York, NY 10471
"
"Fordham University
",New York,5,http://job-openings.monster.com/monster/dc3f36b9-016c-400b-80b2-96d234804d66,"41-15 50th St, New York, NY 11377
"
"Manhattan College
",New York,1,http://job-openings.monster.com/monster/9baefbed-f292-4d8e-b42e-749c2062ff71,"288 Prospect Pl, New York, NY 11238
"
"Baruch College
",New York,6,http://job-openings.monster.com/monster/3535b8a6-05e9-4110-936d-3f1db1a439b2,"681 Bergen St, New York, NY 11238
"
"Baruch College
",New York,7,http://job-openings.monster.com/monster/0288477d-8b29-41e1-baf7-1330bafd36a8,"4650 Hadley Ave, New York, NY 10471
"
"Pace University
",New York,4,http://job-openings.monster.com/monster/d1c7714e-9a19-485e-929c-b2d83782e185,"32-54 82nd St, New York, NY 11370
"
"Fordham University
",New York,0,http://job-openings.monster.com/monster/e87fb112-c262-4c5e-8a66-7328b2a897c6,"9 Ploughmans Bush, New York, NY 10471
"
