college,link,address
"Pace University
",http://jobview.monster.com/Returns-Room-Clerk-Job-Jersey-City-NJ-US-169394100.aspx,"4650 Hadley Ave, New York, NY 10471
"
"Baruch College
",http://jobview.monster.com/Administrative-Clerical-Assistant-AA2136-145-19791-Job-New-York-City-NY-US-169716859.aspx,"288 Prospect Pl, New York, NY 11238
"
"Fordham University
",http://jobview.monster.com/Entry-Level-Accounts-Payable-Clerk-Job-Garden-City-NY-US-168076279.aspx,"47-11 45th St, New York, NY 11377
"
"Baruch College
",http://jobview.monster.com/Court-Clerk-Job-New-York-NY-US-169202917.aspx,"4069 Dodgewood Rd, New York, NY 10471
"
"Manhattan College
",http://jobview.monster.com/Accounts-Receivable-Clerk-Job-Carlstadt-NJ-US-168038758.aspx,"4069 Dodgewood Rd, New York, NY 10471
"
"Baruch College
",http://jobview.monster.com/Law-Clerk-MCO-Job-New-York-NY-US-168871235.aspx,"41-46 50th St, New York, NY 11377
"
"Fordham University
",http://jobview.monster.com/Stockroom-Clerk-Job-Rockleigh-NJ-US-169717667.aspx,"4069 Dodgewood Rd, New York, NY 10471
"
"Fordham University
",http://jobview.monster.com/financial-services-financial-sales-job-melville-ny-us-164559057.aspx,"4645 Independence Ave, New York, NY 10471
"
"Fordham University
",http://jobview.monster.com/Accounting-Clerk-Job-Paramus-NJ-US-168505558.aspx,"41-15 50th St, New York, NY 11377
"
"Fordham University
",http://job-openings.monster.com/monster/274c6273-435f-4791-bde7-3d45b582238e,"45-44 42nd St, New York, NY 11104
"
"Baruch College
",http://job-openings.monster.com/monster/e335e1ea-fae8-4055-8168-6466dd4c6f07,"41-46 50th St, New York, NY 11377
"
"Baruch College
",http://job-openings.monster.com/monster/4fe43792-c69b-411b-a221-a79cd1632b41,"41-15 50th St, New York, NY 11377
"
"Manhattan College
",http://job-openings.monster.com/monster/0b2a8ac4-504e-4b4e-a5be-1abd677986b3,"47-11 45th St, New York, NY 11377
"
