college,link,address
"Fordham University
",http://jobview.monster.com/Senior-Mail-Clerk-Job-Newark-NJ-US-169165579.aspx,"153 Underhill Ave, New York, NY 11238
"
"Fordham University
",http://jobview.monster.com/Administrative-Clerical-Assistant-AA2136-145-19791-Job-New-York-City-NY-US-169716859.aspx,"228 Lincoln Pl, New York, NY 11217
"
"Fordham University
",http://jobview.monster.com/WAREHOUSE-RECEIVING-SHIPPING-CLERK-Job-Avenel-NJ-US-164739639.aspx,"41-22 42nd St, New York, NY 11104
"
"Fordham University
",http://jobview.monster.com/Price-Control-Clerk-Job-Brooklyn-NY-US-167598077.aspx,"41-46 50th St, New York, NY 11377
"
"Baruch College
",http://jobview.monster.com/Receiving-Clerk-Job-Butler-NJ-US-168672216.aspx,"45-44 42nd St, New York, NY 11104
"
"Manhattan College
",http://jobview.monster.com/Seasonal-Part-time-Accounting-Clerk-Job-Paramus-NJ-US-168764596.aspx,"4650 Hadley Ave, New York, NY 10471
"
"Pace University
",http://job-openings.monster.com/monster/e95e161d-bc40-413f-bb69-b01370a8586c,"32-43 83rd St, New York, NY 11370
"
"Manhattan College
",http://jobview.monster.com/Accounting-Clerk-Job-River-Edge-NJ-US-168337018.aspx,"153 Underhill Ave, New York, NY 11238
"
"Pace University
",http://jobview.monster.com/Accounts-Payable-Clerk-Job-Manhattan-NY-US-169438692.aspx,"32-54 82nd St, New York, NY 11370
"
"Manhattan College
",http://jobview.monster.com/Accounts-Payable-Clerk-Job-New-York-City-NY-US-168758007.aspx,"4650 Hadley Ave, New York, NY 10471
"
"Fordham University
",http://jobview.monster.com/Accounts-Payable-Clerk-Job-Secaucus-NJ-US-121497909.aspx,"41-46 50th St, New York, NY 11377
"
"Fordham University
",http://jobview.monster.com/Accounts-Receivable-Clerk-Job-Union-NJ-US-113305985.aspx,"45-44 42nd St, New York, NY 11104
"
"Pace University
",http://jobview.monster.com/Part-time-Accounting-Clerk-Job-Valley-Stream-NY-US-169481157.aspx,"681 Bergen St, New York, NY 11238
"
"Baruch College
",http://job-openings.monster.com/monster/65e43be5-e504-4ec1-832d-60cd14ffeb9b,"32-54 80th St, New York, NY 11370
"
"Fordham University
",http://job-openings.monster.com/monster/364741fe-cefd-45fe-b6b6-5008c28e0040,"32-19 76th St, New York, NY 11370
"
"Baruch College
",http://job-openings.monster.com/monster/7c0af753-14b1-4e1d-b074-341437e88dd8,"4650 Hadley Ave, New York, NY 10471
"
"Pace University
",http://job-openings.monster.com/monster/49b0d1a4-5867-4f1a-904f-b7bb7b6792ba,"31-23 80th St, New York, NY 11370
"
