college,link,address
"Baruch College
",http://jobview.monster.com/Merchandise-Data-Operations-Item-Entry-Clerical-Job-Union-NJ-US-167895338.aspx,"228 Lincoln Pl, New York, NY 11217
"
"Baruch College
",http://jobview.monster.com/Intellectual-Property-IP-Docketing-Clerk-Job-Franklin-Lakes-NJ-US-169745705.aspx,"41-22 42nd St, New York, NY 11104
"
"Fordham University
",http://jobview.monster.com/Calendar-Clerk-Job-New-York-City-NY-US-169471007.aspx,"32-19 76th St, New York, NY 11370
"
"Baruch College
",http://jobview.monster.com/Accounting-Clerk-Job-New-York-City-NY-US-169074411.aspx,"153 Underhill Ave, New York, NY 11238
"
"Manhattan College
",http://jobview.monster.com/Accounting-Payroll-Clerk-Job-Astoria-NY-US-167754806.aspx,"32-54 82nd St, New York, NY 11370
"
"Baruch College
",http://jobview.monster.com/Accounts-Payable-Clerk-Job-New-Rochelle-NY-US-169550471.aspx,"32-54 80th St, New York, NY 11370
"
"Manhattan College
",http://jobview.monster.com/Automotive-Parts-Counter-Clerk-Job-New-Hyde-Park-NY-US-168323614.aspx,"228 Lincoln Pl, New York, NY 11217
"
"Pace University
",http://jobview.monster.com/Stock-Clerk-Job-Mountainside-NJ-US-169082376.aspx,"228 Lincoln Pl, New York, NY 11217
"
"Manhattan College
",http://jobview.monster.com/Accounts-Payable-Clerk-Job-Edison-NJ-US-148116282.aspx,"47-11 45th St, New York, NY 11377
"
"Fordham University
",http://job-openings.monster.com/monster/c185b1f1-45de-4508-9e9e-3899e2631a2c,"4600 Palisade Ave, New York, NY 10471
"
"Baruch College
",http://job-openings.monster.com/monster/af6362d6-20cc-47fc-865f-1d5f2027db78,"9 Ploughmans Bush, New York, NY 10471
"
"Fordham University
",http://job-openings.monster.com/monster/e76387ce-af22-4d84-a04f-e90efb85ac52,"32-54 82nd St, New York, NY 11370
"
"Fordham University
",http://job-openings.monster.com/monster/a6138677-539f-447d-bd7a-cc8a254cf785,"4645 Independence Ave, New York, NY 10471
"
"Pace University
",http://job-openings.monster.com/monster/1e772d06-27bb-434b-b448-859503539ea0,"32-19 76th St, New York, NY 11370
"
"Baruch College
",http://job-openings.monster.com/monster/510dd5a0-1dff-45f3-8834-0e39deb058b9,"32-43 83rd St, New York, NY 11370
"
"Baruch College
",http://job-openings.monster.com/monster/0bd887fc-9676-444f-a6a8-b7ff5bb92252,"31-23 80th St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/de62bd08-d7e0-4b6c-a058-16d1079502ff,"4650 Hadley Ave, New York, NY 10471
"
"Fordham University
",http://job-openings.monster.com/monster/a564375d-d78a-452d-b171-3063bb83ab37,"45-44 42nd St, New York, NY 11104
"
"Fordham University
",http://job-openings.monster.com/monster/de4ac6ba-176d-40bc-a582-a458cec32c5a,"47-11 45th St, New York, NY 11377
"
"Pace University
",http://job-openings.monster.com/monster/73b4fdcd-a787-4313-9267-5201797d3c5a,"4650 Hadley Ave, New York, NY 10471
"
"Pace University
",http://job-openings.monster.com/monster/4aa0edd2-dc48-4c87-af7b-ff6df53ce282,"32-54 80th St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/f246944e-ae99-47e2-9a05-d4c748224b44,"288 Prospect Pl, New York, NY 11238
"
"Pace University
",http://job-openings.monster.com/monster/191d8f12-2cb5-4320-9ec4-c6018f8136d3,"681 Bergen St, New York, NY 11238
"
"Baruch College
",http://job-openings.monster.com/monster/6e4e3199-f9d4-4320-aa9f-6b20027c5e8a,"32-43 83rd St, New York, NY 11370
"
"Manhattan College
",http://job-openings.monster.com/monster/7fe55ad5-b1f9-4814-9370-9598c69ffd88,"41-22 42nd St, New York, NY 11104
"
"Fordham University
",http://job-openings.monster.com/monster/9baefbed-f292-4d8e-b42e-749c2062ff71,"153 Underhill Ave, New York, NY 11238
"
"Pace University
",http://job-openings.monster.com/monster/e24d718f-e26d-4a72-8ded-128b4a94a010,"153 Underhill Ave, New York, NY 11238
"
"Pace University
",http://job-openings.monster.com/monster/63e516b8-9f05-44c8-a801-9b2b8da2f816,"228 Lincoln Pl, New York, NY 11217
"
"Manhattan College
",http://job-openings.monster.com/monster/e87fb112-c262-4c5e-8a66-7328b2a897c6,"4600 Palisade Ave, New York, NY 10471
"
"Baruch College
",http://job-openings.monster.com/monster/5c2efeb6-9349-46b3-8069-e858dfd46b9d,"32-43 83rd St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/92568bf1-85e1-4dc6-bfe2-03beba5333fa,"9 Ploughmans Bush, New York, NY 10471
"
"Baruch College
",http://job-openings.monster.com/monster/3a106724-5e20-4b1b-a449-c3a285f16f98,"45-44 42nd St, New York, NY 11104
"
"Fordham University
",http://job-openings.monster.com/monster/3e2725a1-bb1f-42db-b191-78071c7a5a6c,"32-54 80th St, New York, NY 11370
"
"Baruch College
",http://job-openings.monster.com/monster/841b4309-7ffa-4497-9bd3-b1396227d8a0,"47-11 45th St, New York, NY 11377
"
"Baruch College
",http://job-openings.monster.com/monster/ecd24083-98f3-4522-9a28-56583b26ef76,"32-54 82nd St, New York, NY 11370
"
"Fordham University
",http://job-openings.monster.com/monster/bd1dab4a-0a32-408c-9d33-513da1bcee2b,"9 Ploughmans Bush, New York, NY 10471
"
"Pace University
",http://job-openings.monster.com/monster/9afc8350-eafc-4963-83a0-688ee387bc6e,"288 Prospect Pl, New York, NY 11238
"
"Pace University
",http://job-openings.monster.com/monster/c155eb73-d0a1-4828-934a-a18e96120a6b,"41-22 42nd St, New York, NY 11104
"
"Baruch College
",http://job-openings.monster.com/monster/565f86d9-13f8-47cc-ac0f-8a271ca42254,"41-46 50th St, New York, NY 11377
"
"Pace University
",http://job-openings.monster.com/monster/2b602ac6-bffe-4a1d-b40a-dcd66d1338b0,"4069 Dodgewood Rd, New York, NY 10471
"
