college,type,resume,link,address
"Baruch College
",New York,6,http://jobview.monster.com/Mail-Clerk-Job-New-York-City-NY-US-167901040.aspx,"47-11 45th St, New York, NY 11377
"
"Baruch College
",New York,0,http://jobview.monster.com/Accounting-Clerk-Job-Clark-NJ-US-169177821.aspx,"41-46 50th St, New York, NY 11377
"
"Baruch College
",New York,5,http://jobview.monster.com/WAREHOUSE-RECEIVING-SHIPPING-CLERK-Job-Avenel-NJ-US-164739639.aspx,"41-46 50th St, New York, NY 11377
"
"Manhattan College
",New York,3,http://jobview.monster.com/Price-Control-Clerk-Job-Brooklyn-NY-US-167598077.aspx,"681 Bergen St, New York, NY 11238
"
"Baruch College
",New York,6,http://jobview.monster.com/Customer-Service-Clerks-needed-for-Insurance-Benefits-Firms-temp-to-perm-Job-US-169687558.aspx,"31-23 80th St, New York, NY 11370
"
"Pace University
",New York,4,http://jobview.monster.com/Records-Clerk-Job-Livingston-NJ-US-169175087.aspx,"31-23 80th St, New York, NY 11370
"
"Pace University
",New York,2,http://jobview.monster.com/Automotive-Parts-Counter-Clerk-Job-New-Hyde-Park-NY-US-168323614.aspx,"4645 Independence Ave, New York, NY 10471
"
"Baruch College
",New York,5,http://jobview.monster.com/Stock-Clerk-Job-Mountainside-NJ-US-169082376.aspx,"4069 Dodgewood Rd, New York, NY 10471
"
"Fordham University
",New York,0,http://job-openings.monster.com/monster/92f2d06a-04a9-4706-8d39-83b33510bb98,"41-46 50th St, New York, NY 11377
"
"Manhattan College
",New York,0,http://job-openings.monster.com/monster/dc58950b-69c3-49a6-b356-4c550f7d6fe8,"32-54 82nd St, New York, NY 11370
"
"Pace University
",New York,6,http://jobview.monster.com/Junior-Accounts-Payable-Clerk-Job-Manhattan-NY-US-168620188.aspx,"288 Prospect Pl, New York, NY 11238
"
"Manhattan College
",New York,0,http://jobview.monster.com/Leasing-Clerk-Residential-Job-New-York-City-NY-US-168608884.aspx,"32-43 83rd St, New York, NY 11370
"
"Manhattan College
",New York,6,http://job-openings.monster.com/monster/3f63b236-5f67-4621-b058-6943d274934a,"4069 Dodgewood Rd, New York, NY 10471
"
"Manhattan College
",New York,1,http://job-openings.monster.com/monster/9b4e8553-5443-470e-b9cc-da1592138167,"47-11 45th St, New York, NY 11377
"
"Pace University
",New York,1,http://job-openings.monster.com/monster/384b0d2d-dddf-4edd-b30e-4d010919b9f4,"41-22 42nd St, New York, NY 11104
"
"Fordham University
",New York,7,http://job-openings.monster.com/monster/510dd5a0-1dff-45f3-8834-0e39deb058b9,"41-22 42nd St, New York, NY 11104
"
"Pace University
",New York,3,http://job-openings.monster.com/monster/181aa7f8-530f-429f-bbee-4c4a64273b81,"288 Prospect Pl, New York, NY 11238
"
"Fordham University
",New York,2,http://job-openings.monster.com/monster/9a817081-53e1-4c72-a80c-17994c1b4d1f,"32-54 80th St, New York, NY 11370
"
"Pace University
",New York,5,http://job-openings.monster.com/monster/43aa5068-9e82-4706-9d5e-db7bdf812d6a,"41-46 50th St, New York, NY 11377
"
"Baruch College
",New York,6,http://job-openings.monster.com/monster/787b7a0b-3f01-46ed-981c-82e893c6eaa5,"4645 Independence Ave, New York, NY 10471
"
"Baruch College
",New York,2,http://job-openings.monster.com/monster/5533ccc6-0fa8-476d-abb4-3a625753f562,"32-43 83rd St, New York, NY 11370
"
"Pace University
",New York,7,http://job-openings.monster.com/monster/25b9cbcc-be76-42b6-b49a-552c5a9008d3,"32-54 82nd St, New York, NY 11370
"
"Manhattan College
",New York,7,http://job-openings.monster.com/monster/4a8e6bbc-ddce-4139-99d2-b02faa209799,"4650 Hadley Ave, New York, NY 10471
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/dbe5509a-a8ad-48f5-8fa4-307dc0eec936,"681 Bergen St, New York, NY 11238
"
"Fordham University
",New York,4,http://job-openings.monster.com/monster/5d9773de-1d27-4bed-a9d7-e31f419a850b,"32-43 83rd St, New York, NY 11370
"
"Fordham University
",New York,5,http://job-openings.monster.com/monster/80527f61-4df2-4836-965c-9bb1ae6f9b60,"4600 Palisade Ave, New York, NY 10471
"
"Baruch College
",New York,2,http://job-openings.monster.com/monster/a5af222c-6256-4539-9346-9adef603a143,"41-15 50th St, New York, NY 11377
"
"Baruch College
",New York,2,http://job-openings.monster.com/monster/080ba561-b457-4b71-b2c9-38c2f0ecc536,"32-19 76th St, New York, NY 11370
"
"Manhattan College
",New York,1,http://job-openings.monster.com/monster/c66aa4bb-7ddc-4310-89d3-8bcab3a0711a,"32-54 80th St, New York, NY 11370
"
"Fordham University
",New York,1,http://job-openings.monster.com/monster/5c2efeb6-9349-46b3-8069-e858dfd46b9d,"32-54 80th St, New York, NY 11370
"
"Baruch College
",New York,3,http://job-openings.monster.com/monster/9292de08-6b0d-48c9-9849-1a6077888b44,"41-22 42nd St, New York, NY 11104
"
"Fordham University
",New York,4,http://job-openings.monster.com/monster/26318195-9024-4160-82f0-ade096666a12,"9 Ploughmans Bush, New York, NY 10471
"
"Baruch College
",New York,3,http://job-openings.monster.com/monster/4501e105-72c0-4d02-a25c-27ef4fc06a4f,"4650 Hadley Ave, New York, NY 10471
"
"Fordham University
",New York,1,http://job-openings.monster.com/monster/e5741c93-072c-41b3-8d19-b2ce47f8ab45,"153 Underhill Ave, New York, NY 11238
"
"Baruch College
",New York,1,http://job-openings.monster.com/monster/1e7b6aeb-2ebb-4c8d-a1c2-e87a8bee13ca,"32-54 82nd St, New York, NY 11370
"
"Fordham University
",New York,5,http://job-openings.monster.com/monster/1b91365f-8bea-4e08-8ca6-3d859040a0fa,"41-15 50th St, New York, NY 11377
"
"Pace University
",New York,2,http://job-openings.monster.com/monster/689c0936-6183-473c-9cf9-ff924127aa83,"41-22 42nd St, New York, NY 11104
"
"Fordham University
",New York,5,http://job-openings.monster.com/monster/c155eb73-d0a1-4828-934a-a18e96120a6b,"4069 Dodgewood Rd, New York, NY 10471
"
"Fordham University
",New York,1,http://job-openings.monster.com/monster/7a041b73-be97-4779-873d-bb866ef3ab79,"45-44 42nd St, New York, NY 11104
"
"Pace University
",New York,6,http://job-openings.monster.com/monster/4f0dc62d-9a03-4f76-a5d9-b5e34ad85b35,"153 Underhill Ave, New York, NY 11238
"
"Pace University
",New York,7,http://job-openings.monster.com/monster/55f7bfa2-84fe-4d5e-98f0-ba9ba973b93f,"4645 Independence Ave, New York, NY 10471
"
"Baruch College
",New York,5,http://job-openings.monster.com/monster/479d3691-49a7-4a6e-bbea-cf201b3068bc,"153 Underhill Ave, New York, NY 11238
"
"Manhattan College
",New York,6,http://job-openings.monster.com/monster/bba4b9aa-d364-48b5-b92e-d3e17cf9f3e4,"41-46 50th St, New York, NY 11377
"
"Baruch College
",New York,3,http://job-openings.monster.com/monster/34db077a-f2b5-4f93-9634-a126602a11f4,"153 Underhill Ave, New York, NY 11238
"
"Pace University
",New York,6,http://job-openings.monster.com/monster/ef66d083-6f0d-4f58-a510-17814a3311cf,"228 Lincoln Pl, New York, NY 11217
"
"Manhattan College
",New York,5,http://job-openings.monster.com/monster/e1a17598-a43b-43c2-b941-f521030ddf9a,"32-19 76th St, New York, NY 11370
"
"Manhattan College
",New York,1,http://job-openings.monster.com/monster/ce21e7ba-3bdb-42b2-a2f8-e7e83cff4501,"4650 Hadley Ave, New York, NY 10471
"
"Baruch College
",New York,3,http://job-openings.monster.com/monster/5f9c3642-7565-48dd-98ab-beaff79ec93d,"32-43 83rd St, New York, NY 11370
"
"Manhattan College
",New York,4,http://job-openings.monster.com/monster/103a8d38-ecfe-4542-b032-b913dc564c6d,"32-43 83rd St, New York, NY 11370
"
"Manhattan College
",New York,2,http://job-openings.monster.com/monster/02caf0aa-2760-4818-bcf2-331d453bfc47,"41-46 50th St, New York, NY 11377
"
"Pace University
",New York,1,http://job-openings.monster.com/monster/b82d4f26-9025-479b-8a48-9dd0917a7d82,"32-43 83rd St, New York, NY 11370
"
"Manhattan College
",New York,7,http://job-openings.monster.com/monster/dd465c11-205d-4bbe-9e9e-970e990d44f7,"41-15 50th St, New York, NY 11377
"
"Baruch College
",New York,6,http://job-openings.monster.com/monster/8d7be65f-c0fa-4214-9ea0-159779b64241,"228 Lincoln Pl, New York, NY 11217
"
"Pace University
",New York,5,http://job-openings.monster.com/monster/7f706770-eaf9-4b4e-a0e5-9f63382b3689,"41-15 50th St, New York, NY 11377
"
"Fordham University
",New York,6,http://job-openings.monster.com/monster/76e9677b-e838-4031-8eae-d3a2b079259e,"41-15 50th St, New York, NY 11377
"
"Baruch College
",New York,6,http://job-openings.monster.com/monster/daf413af-f170-45a9-ac2e-aa8ddbf12506,"9 Ploughmans Bush, New York, NY 10471
"
"Baruch College
",New York,4,http://job-openings.monster.com/monster/8ec8bb2e-6b01-4d49-b78f-0e8b5b538d9b,"153 Underhill Ave, New York, NY 11238
"
"Fordham University
",New York,5,http://job-openings.monster.com/monster/4ebbea63-8891-4b92-b543-a30b3cc6358e,"41-22 42nd St, New York, NY 11104
"
"Pace University
",New York,6,http://job-openings.monster.com/monster/296f883e-8ece-4d02-94f6-16b59062861c,"9 Ploughmans Bush, New York, NY 10471
"
"Fordham University
",New York,5,http://job-openings.monster.com/monster/375e3eb5-8484-4311-ab56-a088dba56451,"4645 Independence Ave, New York, NY 10471
"
"Manhattan College
",New York,0,http://job-openings.monster.com/monster/86fe0ccb-4b9a-4521-9772-c6c3b143d0f4,"9 Ploughmans Bush, New York, NY 10471
"
"Baruch College
",New York,1,http://job-openings.monster.com/monster/b5321076-67e4-489a-b212-f6ff3ec73d45,"4600 Palisade Ave, New York, NY 10471
"
"Baruch College
",New York,0,http://job-openings.monster.com/monster/f4c48699-8dfc-4bff-a470-9ed05ee2fd47,"32-43 83rd St, New York, NY 11370
"
"Manhattan College
",New York,0,http://job-openings.monster.com/monster/a89e2269-86c7-4415-9f0c-005bb20ec5f2,"32-19 76th St, New York, NY 11370
"
"Fordham University
",New York,2,http://job-openings.monster.com/monster/a74ff33b-66b5-4d44-9669-76bdcc8d251f,"4069 Dodgewood Rd, New York, NY 10471
"
"Manhattan College
",New York,0,http://job-openings.monster.com/monster/ec3a8348-e266-481d-beb2-3a5b7adfee17,"4650 Hadley Ave, New York, NY 10471
"
"Fordham University
",New York,1,http://job-openings.monster.com/monster/ca31f406-0259-4a75-93b0-c4f6c235bed1,"153 Underhill Ave, New York, NY 11238
"
"Fordham University
",New York,0,http://job-openings.monster.com/monster/6beea9af-f137-481a-a32d-3a220b210266,"32-54 82nd St, New York, NY 11370
"
"Manhattan College
",New York,7,http://job-openings.monster.com/monster/19b85d25-cb65-4482-9c56-f915eb524753,"32-19 76th St, New York, NY 11370
"
