college,type,resume,link,address
"Manhattan College
",New York,3,http://jobview.monster.com/Senior-Mail-Clerk-Job-Newark-NJ-US-169165579.aspx,"9 Ploughmans Bush, New York, NY 10471
"
"Manhattan College
",New York,1,http://jobview.monster.com/Accounts-Payable-Clerk-Job-Jersey-City-NJ-US-169215329.aspx,"41-22 42nd St, New York, NY 11104
"
"Fordham University
",New York,1,http://jobview.monster.com/Accounts-Payable-Clerk-Job-New-Rochelle-NY-US-169550471.aspx,"41-15 50th St, New York, NY 11377
"
"Manhattan College
",New York,0,http://jobview.monster.com/Receiving-Clerk-Job-Butler-NJ-US-168672216.aspx,"31-23 80th St, New York, NY 11370
"
"Pace University
",New York,7,http://jobview.monster.com/Seasonal-Part-time-Accounting-Clerk-Job-Paramus-NJ-US-168764596.aspx,"45-44 42nd St, New York, NY 11104
"
"Pace University
",New York,0,http://jobview.monster.com/Accounts-Payable-Clerk-Job-Linden-NJ-US-112154576.aspx,"41-46 50th St, New York, NY 11377
"
"Pace University
",New York,1,http://job-openings.monster.com/monster/274c6273-435f-4791-bde7-3d45b582238e,"288 Prospect Pl, New York, NY 11238
"
"Baruch College
",New York,3,http://jobview.monster.com/Accounts-Payable-Clerk-Job-Edison-NJ-US-148116282.aspx,"288 Prospect Pl, New York, NY 11238
"
"Baruch College
",New York,0,http://job-openings.monster.com/monster/4afe9a39-d181-42bf-bce0-5634db33bce4,"681 Bergen St, New York, NY 11238
"
"Pace University
",New York,1,http://job-openings.monster.com/monster/65e43be5-e504-4ec1-832d-60cd14ffeb9b,"4645 Independence Ave, New York, NY 10471
"
"Pace University
",New York,3,http://job-openings.monster.com/monster/e76387ce-af22-4d84-a04f-e90efb85ac52,"32-54 80th St, New York, NY 11370
"
"Baruch College
",New York,0,http://job-openings.monster.com/monster/364741fe-cefd-45fe-b6b6-5008c28e0040,"228 Lincoln Pl, New York, NY 11217
"
"Baruch College
",New York,7,http://job-openings.monster.com/monster/28a19dbb-65ae-40b3-a993-60c7276ac8c7,"32-19 76th St, New York, NY 11370
"
"Fordham University
",New York,5,http://job-openings.monster.com/monster/0bd887fc-9676-444f-a6a8-b7ff5bb92252,"47-11 45th St, New York, NY 11377
"
"Pace University
",New York,7,http://job-openings.monster.com/monster/f90b114b-28c1-4261-bb7b-0b1c1a1e5148,"4650 Hadley Ave, New York, NY 10471
"
"Fordham University
",New York,3,http://job-openings.monster.com/monster/0c2db850-977a-4f0e-acb8-105ad6c0d655,"228 Lincoln Pl, New York, NY 11217
"
"Manhattan College
",New York,5,http://job-openings.monster.com/monster/41e482c1-90bb-424a-b05a-c067154c28f9,"153 Underhill Ave, New York, NY 11238
"
"Pace University
",New York,4,http://job-openings.monster.com/monster/47d9c56f-bc38-4f70-97bd-50c0625010af,"41-46 50th St, New York, NY 11377
"
"Fordham University
",New York,3,http://job-openings.monster.com/monster/8f7d71b4-e45d-4ec0-8e20-fcec083cbb3e,"32-19 76th St, New York, NY 11370
"
"Manhattan College
",New York,6,http://job-openings.monster.com/monster/39377e55-777b-45fc-8c29-9102d44a2ed2,"288 Prospect Pl, New York, NY 11238
"
"Pace University
",New York,6,http://job-openings.monster.com/monster/fd34a9aa-a43a-4968-924b-47d3f32de84c,"681 Bergen St, New York, NY 11238
"
"Baruch College
",New York,1,http://job-openings.monster.com/monster/7e51a487-6c09-448d-8aa0-d9c7ece7b6a4,"32-54 80th St, New York, NY 11370
"
"Pace University
",New York,7,http://job-openings.monster.com/monster/8ba33b7c-e204-482d-8bd6-816d6d68b6b1,"32-54 80th St, New York, NY 11370
"
"Baruch College
",New York,6,http://job-openings.monster.com/monster/f4b804f1-1f1c-4250-be3a-5c32f06bdc79,"32-54 82nd St, New York, NY 11370
"
"Fordham University
",New York,6,http://job-openings.monster.com/monster/7fe55ad5-b1f9-4814-9370-9598c69ffd88,"4069 Dodgewood Rd, New York, NY 10471
"
"Pace University
",New York,2,http://job-openings.monster.com/monster/9baefbed-f292-4d8e-b42e-749c2062ff71,"32-43 83rd St, New York, NY 11370
"
"Manhattan College
",New York,5,http://job-openings.monster.com/monster/b844caf6-8ce6-4143-ae35-c03513843fd4,"41-22 42nd St, New York, NY 11104
"
"Baruch College
",New York,7,http://job-openings.monster.com/monster/e87fb112-c262-4c5e-8a66-7328b2a897c6,"228 Lincoln Pl, New York, NY 11217
"
"Manhattan College
",New York,4,http://job-openings.monster.com/monster/43092bce-0065-4395-ae02-e237bf3f72a4,"32-43 83rd St, New York, NY 11370
"
"Baruch College
",New York,0,http://job-openings.monster.com/monster/7fbc7da3-3b92-42d3-a3ba-7573dea07488,"288 Prospect Pl, New York, NY 11238
"
"Baruch College
",New York,7,http://job-openings.monster.com/monster/b4da9f4f-f874-49e3-8e28-2e6e71b01e87,"4650 Hadley Ave, New York, NY 10471
"
"Pace University
",New York,6,http://job-openings.monster.com/monster/63adc08b-6002-41cc-8571-f6e064d1aff3,"41-15 50th St, New York, NY 11377
"
"Pace University
",New York,7,http://job-openings.monster.com/monster/bf0f2bb8-7413-4106-a10f-09a100858d5a,"681 Bergen St, New York, NY 11238
"
"Pace University
",New York,5,http://job-openings.monster.com/monster/fe33328c-f4be-466d-b0d5-9813e6b7b1f5,"4600 Palisade Ave, New York, NY 10471
"
"Pace University
",New York,3,http://job-openings.monster.com/monster/b13d1156-5dab-445a-ada6-23df473bbb1e,"31-23 80th St, New York, NY 11370
"
"Fordham University
",New York,7,http://job-openings.monster.com/monster/41e5fd6a-83f2-4d08-a644-0dcf9b356fdb,"32-54 80th St, New York, NY 11370
"
"Pace University
",New York,2,http://job-openings.monster.com/monster/dd502fb9-b1d1-4860-872d-6ba478cb1c3d,"41-22 42nd St, New York, NY 11104
"
"Baruch College
",New York,7,http://job-openings.monster.com/monster/bd1dab4a-0a32-408c-9d33-513da1bcee2b,"32-54 82nd St, New York, NY 11370
"
"Baruch College
",New York,4,http://job-openings.monster.com/monster/3dbef8f2-2700-49a4-af2b-49a5d0c28344,"153 Underhill Ave, New York, NY 11238
"
"Manhattan College
",New York,1,http://job-openings.monster.com/monster/d7acd2df-c5e8-4489-b314-5d338f23f01c,"41-22 42nd St, New York, NY 11104
"
"Pace University
",New York,5,http://job-openings.monster.com/monster/2725249f-96db-4049-bc2c-d9e5bf1743ca,"4600 Palisade Ave, New York, NY 10471
"
"Pace University
",New York,6,http://job-openings.monster.com/monster/f5576049-9336-43a9-98b7-20272a72259d,"4600 Palisade Ave, New York, NY 10471
"
"Manhattan College
",New York,2,http://job-openings.monster.com/monster/85fb50c0-22cb-4b22-853a-19b84dc122b5,"32-54 82nd St, New York, NY 11370
"
"Pace University
",New York,1,http://job-openings.monster.com/monster/565f86d9-13f8-47cc-ac0f-8a271ca42254,"4645 Independence Ave, New York, NY 10471
"
"Manhattan College
",New York,4,http://job-openings.monster.com/monster/71935aa2-62ce-4ba1-8203-b91928750b8a,"41-46 50th St, New York, NY 11377
"
"Pace University
",New York,3,http://job-openings.monster.com/monster/a4734c7c-22ff-40fd-84cc-e86461adbc0d,"32-43 83rd St, New York, NY 11370
"
"Pace University
",New York,4,http://job-openings.monster.com/monster/eb91ae49-5f40-4ca7-8b7b-7334feb729a1,"32-43 83rd St, New York, NY 11370
"
"Pace University
",New York,2,http://job-openings.monster.com/monster/de83fdc1-01b6-4646-9eeb-636cb11cd683,"32-54 80th St, New York, NY 11370
"
"Manhattan College
",New York,4,http://job-openings.monster.com/monster/7a6aa49c-f1c3-495d-b456-cfa539ff66a4,"4650 Hadley Ave, New York, NY 10471
"
"Fordham University
",New York,6,http://job-openings.monster.com/monster/edb75ff3-66a9-47dc-bf47-be99bb387f0f,"31-23 80th St, New York, NY 11370
"
"Pace University
",New York,5,http://job-openings.monster.com/monster/da4fa9a8-e830-4e13-a0e0-34c9459bc5d8,"32-19 76th St, New York, NY 11370
"
"Baruch College
",New York,5,http://job-openings.monster.com/monster/64304b0f-6d0a-4309-98d6-539499e2674e,"41-15 50th St, New York, NY 11377
"
"Pace University
",New York,1,http://job-openings.monster.com/monster/b533e27e-a6f4-4859-aaca-0f2fe7ccbd09,"31-23 80th St, New York, NY 11370
"
"Pace University
",New York,4,http://job-openings.monster.com/monster/079b9c00-c0f6-4fe6-a898-8c043f69508f,"32-54 80th St, New York, NY 11370
"
"Pace University
",New York,3,http://job-openings.monster.com/monster/8af36339-b6e1-4ea7-af9e-f42cf84f20e2,"32-43 83rd St, New York, NY 11370
"
"Manhattan College
",New York,3,http://job-openings.monster.com/monster/d71c7b32-9127-48c0-b8e1-20b1dda1c2b0,"32-19 76th St, New York, NY 11370
"
"Fordham University
",New York,4,http://job-openings.monster.com/monster/99416d5f-ed00-49d4-b08f-1791485c409c,"41-22 42nd St, New York, NY 11104
"
"Pace University
",New York,2,http://job-openings.monster.com/monster/ba7c4107-ded2-4a8e-9849-1475a8ca2ec9,"4645 Independence Ave, New York, NY 10471
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/f540d64a-52c8-498e-b560-3d44b8928694,"4069 Dodgewood Rd, New York, NY 10471
"
"Fordham University
",New York,6,http://job-openings.monster.com/monster/cb08eef1-7e2b-43e5-8729-989f997d3159,"47-11 45th St, New York, NY 11377
"
"Baruch College
",New York,0,http://job-openings.monster.com/monster/c054a22b-fab2-47cb-901f-dc69dd228f70,"153 Underhill Ave, New York, NY 11238
"
"Fordham University
",New York,3,http://job-openings.monster.com/monster/6a9bb1a8-4356-45ad-bdbd-ff2cfadf22cc,"4650 Hadley Ave, New York, NY 10471
"
"Manhattan College
",New York,6,http://job-openings.monster.com/monster/10142f08-6f55-42b7-978b-28c134812e87,"9 Ploughmans Bush, New York, NY 10471
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/d4fd14be-79cc-47d3-be32-96b3758c96d1,"32-43 83rd St, New York, NY 11370
"
"Manhattan College
",New York,2,http://job-openings.monster.com/monster/d783385d-1d1d-495b-ba92-8517d9fd88d3,"4069 Dodgewood Rd, New York, NY 10471
"
