college,type,resume,link,address
"Fordham University
",New York,1,http://jobview.monster.com/Merchandise-Data-Operations-Item-Entry-Clerical-Job-Union-NJ-US-167895338.aspx,"4650 Hadley Ave, New York, NY 10471
"
"Fordham University
",New York,6,http://jobview.monster.com/File-Clerk-Part-Time-Manhasset-NY-Job-Manhasset-NY-US-169714179.aspx,"4645 Independence Ave, New York, NY 10471
"
"Baruch College
",New York,6,http://jobview.monster.com/Clerk-Level-%E2%80%93-1-Job-Jamaica-NY-US-169653077.aspx,"4645 Independence Ave, New York, NY 10471
"
"Pace University
",New York,5,http://jobview.monster.com/Facilities-Clerk-Job-Newark-NJ-US-168619413.aspx,"32-43 83rd St, New York, NY 11370
"
"Fordham University
",New York,6,http://jobview.monster.com/Accounts-Payable-Clerk-with-Insurance-Background-Job-Garden-City-NY-US-169427405.aspx,"32-54 80th St, New York, NY 11370
"
"Fordham University
",New York,6,http://job-openings.monster.com/monster/09977075-f7c4-4e8b-aa41-f35deaa2c9a6,"9 Ploughmans Bush, New York, NY 10471
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/68877e70-53ec-45a5-80cd-04453bbe6620,"41-15 50th St, New York, NY 11377
"
"Manhattan College
",New York,4,http://job-openings.monster.com/monster/847dda1f-76a8-4fc3-b185-208bc2e9ed5e,"41-22 42nd St, New York, NY 11104
"
"Fordham University
",New York,2,http://jobview.monster.com/Accounts-Payable-Clerk-Job-New-York-City-NY-US-168758007.aspx,"9 Ploughmans Bush, New York, NY 10471
"
"Fordham University
",New York,4,http://jobview.monster.com/Part-time-Accounting-Clerk-Job-Valley-Stream-NY-US-169481157.aspx,"4069 Dodgewood Rd, New York, NY 10471
"
"Fordham University
",New York,3,http://job-openings.monster.com/monster/0514d000-6a13-46a0-885c-1d90e8aec468,"4069 Dodgewood Rd, New York, NY 10471
"
"Pace University
",New York,1,http://job-openings.monster.com/monster/18dd403c-d5eb-47d7-94ee-bb4b9c2cfa64,"228 Lincoln Pl, New York, NY 11217
"
"Baruch College
",New York,5,http://job-openings.monster.com/monster/728d0baf-05aa-4577-bd60-b2555683d9fd,"32-54 82nd St, New York, NY 11370
"
"Baruch College
",New York,7,http://job-openings.monster.com/monster/d119f449-71d9-4f97-b487-eb63a2fb3265,"4645 Independence Ave, New York, NY 10471
"
"Baruch College
",New York,4,http://job-openings.monster.com/monster/6be6fb87-f0a4-49ef-aee9-e20668cdf1d3,"32-43 83rd St, New York, NY 11370
"
"Pace University
",New York,3,http://job-openings.monster.com/monster/d78649f5-999e-473a-841b-bb8da73ca406,"32-54 80th St, New York, NY 11370
"
"Pace University
",New York,6,http://job-openings.monster.com/monster/b056dcc1-fc56-44ce-8c2d-5050496927e0,"32-19 76th St, New York, NY 11370
"
"Pace University
",New York,4,http://job-openings.monster.com/monster/4fe43792-c69b-411b-a221-a79cd1632b41,"228 Lincoln Pl, New York, NY 11217
"
"Manhattan College
",New York,0,http://job-openings.monster.com/monster/213bdc08-19bc-49c0-8f21-5bcb0ba34aa9,"32-19 76th St, New York, NY 11370
"
"Pace University
",New York,4,http://job-openings.monster.com/monster/0c2db850-977a-4f0e-acb8-105ad6c0d655,"681 Bergen St, New York, NY 11238
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/d8f89c7b-3f6b-4323-855b-40c8c64615df,"32-19 76th St, New York, NY 11370
"
"Manhattan College
",New York,0,http://job-openings.monster.com/monster/745a0cfb-6c02-4085-9fd5-ca17559daff7,"32-54 82nd St, New York, NY 11370
"
"Manhattan College
",New York,1,http://job-openings.monster.com/monster/ce732468-d2a2-4bd3-a08e-fdab13c7bff8,"288 Prospect Pl, New York, NY 11238
"
