college,type,resume,link,address
"Pace University
",New York,0,http://jobview.monster.com/Accounts-Receivable-Clerk-Job-Carlstadt-NJ-US-168038758.aspx,"41-15 50th St, New York, NY 11377
"
"Baruch College
",New York,3,http://jobview.monster.com/Export-Clerk-Job-Lawrence-NY-US-169471759.aspx,"31-23 80th St, New York, NY 11370
"
"Manhattan College
",New York,5,http://jobview.monster.com/Customer-Service-Clerks-needed-for-Insurance-Benefits-Firms-temp-to-perm-Job-US-169687558.aspx,"47-11 45th St, New York, NY 11377
"
"Fordham University
",New York,4,http://jobview.monster.com/Stock-Clerk-Job-Mountainside-NJ-US-169082376.aspx,"9 Ploughmans Bush, New York, NY 10471
"
"Manhattan College
",New York,2,http://jobview.monster.com/File-Clerk-Manhassat-NY-Job-Manhasset-NY-US-169298517.aspx,"4069 Dodgewood Rd, New York, NY 10471
"
"Baruch College
",New York,6,http://jobview.monster.com/Accounting-Clerk-Job-River-Edge-NJ-US-168337018.aspx,"32-19 76th St, New York, NY 11370
"
"Fordham University
",New York,4,http://job-openings.monster.com/monster/c82d7d33-6ba3-416f-ad9f-523549e3d9ea,"288 Prospect Pl, New York, NY 11238
"
"Baruch College
",New York,5,http://jobview.local-jobs.monster.com/CLERK-Job-BROAD-CHANNEL-NY-US-169581179.aspx,"31-23 80th St, New York, NY 11370
"
"Fordham University
",New York,7,http://jobview.monster.com/Accounts-Payable-Clerk-Job-Iselin-NJ-US-116567322.aspx,"47-11 45th St, New York, NY 11377
"
"Manhattan College
",New York,3,http://job-openings.monster.com/monster/d7f963cc-2669-43d5-a605-caba6d79a5ec,"4650 Hadley Ave, New York, NY 10471
"
"Baruch College
",New York,4,http://job-openings.monster.com/monster/8a4063bf-d934-4b39-a96c-b35dd530fbaa,"288 Prospect Pl, New York, NY 11238
"
"Manhattan College
",New York,2,http://job-openings.monster.com/monster/9490cc3a-9fc5-4184-8cee-fcab71199860,"41-22 42nd St, New York, NY 11104
"
"Baruch College
",New York,5,http://job-openings.monster.com/monster/60205b58-b53c-4007-9b29-916124edf6b6,"32-19 76th St, New York, NY 11370
"
"Manhattan College
",New York,1,http://job-openings.monster.com/monster/ca01f201-2d44-46aa-af49-85f43e421b11,"32-19 76th St, New York, NY 11370
"
"Manhattan College
",New York,7,http://job-openings.monster.com/monster/b2c7ee3e-5de3-42f3-af64-070993bf6247,"32-54 82nd St, New York, NY 11370
"
"Pace University
",New York,5,http://job-openings.monster.com/monster/06b5e30d-bf21-476b-804e-136dbcccd8f6,"41-46 50th St, New York, NY 11377
"
"Baruch College
",New York,5,http://job-openings.monster.com/monster/0c0cac98-fcc2-460b-b17e-1f6115848624,"41-46 50th St, New York, NY 11377
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/c7e724ea-007c-418e-b62d-04a4e77854b7,"47-11 45th St, New York, NY 11377
"
"Fordham University
",New York,2,http://job-openings.monster.com/monster/0b2a8ac4-504e-4b4e-a5be-1abd677986b3,"41-46 50th St, New York, NY 11377
"
