college,link,address
"Pace University
",http://jobview.monster.com/File-Clerk-Receptionist-Job-Springfield-NJ-US-157206373.aspx,"4069 Dodgewood Rd, New York, NY 10471
"
"Fordham University
",http://jobview.monster.com/Accounting-Clerk-Job-Clark-NJ-US-169177821.aspx,"32-43 83rd St, New York, NY 11370
"
"Fordham University
",http://jobview.monster.com/Customer-Service-Clerks-needed-for-Insurance-Benefits-Firms-temp-to-perm-Job-US-169687558.aspx,"41-15 50th St, New York, NY 11377
"
"Pace University
",http://jobview.monster.com/Leasing-Clerk-Residential-Job-New-York-City-NY-US-168608884.aspx,"45-44 42nd St, New York, NY 11104
"
"Baruch College
",http://job-openings.monster.com/monster/d7f963cc-2669-43d5-a605-caba6d79a5ec,"32-54 82nd St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/90dafd1a-8d1d-41f7-baae-fb9fb61ebe8b,"45-44 42nd St, New York, NY 11104
"
"Manhattan College
",http://job-openings.monster.com/monster/6be6fb87-f0a4-49ef-aee9-e20668cdf1d3,"4600 Palisade Ave, New York, NY 10471
"
"Manhattan College
",http://job-openings.monster.com/monster/4fe43792-c69b-411b-a221-a79cd1632b41,"32-19 76th St, New York, NY 11370
"
"Fordham University
",http://job-openings.monster.com/monster/e335e1ea-fae8-4055-8168-6466dd4c6f07,"228 Lincoln Pl, New York, NY 11217
"
"Fordham University
",http://job-openings.monster.com/monster/78f80377-e8a1-4af0-b387-c52c19237825,"41-15 50th St, New York, NY 11377
"
"Fordham University
",http://job-openings.monster.com/monster/bd7c0fdc-31bd-4fbf-874b-79d3e7da9b62,"9 Ploughmans Bush, New York, NY 10471
"
"Fordham University
",http://job-openings.monster.com/monster/4d373289-73b2-4eba-9647-a16afe6caf82,"153 Underhill Ave, New York, NY 11238
"
"Baruch College
",http://job-openings.monster.com/monster/67495c4f-a3d8-4e52-9a47-96b76076cc39,"45-44 42nd St, New York, NY 11104
"
