college,link,address
"Baruch College
",http://jobview.monster.com/File-Clerk-Part-Time-Manhasset-NY-Job-Manhasset-NY-US-169714179.aspx,"288 Prospect Pl, New York, NY 11238
"
"Manhattan College
",http://jobview.monster.com/Returns-Room-Clerk-Job-Jersey-City-NJ-US-169394100.aspx,"32-54 80th St, New York, NY 11370
"
"Pace University
",http://jobview.monster.com/Entry-Level-Accounts-Payable-Clerk-Job-Garden-City-NY-US-168076279.aspx,"4650 Hadley Ave, New York, NY 10471
"
"Manhattan College
",http://jobview.monster.com/Accounts-Payable-Clerk-Job-Springfield-NJ-US-121758416.aspx,"4650 Hadley Ave, New York, NY 10471
"
"Baruch College
",http://jobview.monster.com/Facilities-Clerk-Job-Newark-NJ-US-168619413.aspx,"4645 Independence Ave, New York, NY 10471
"
"Pace University
",http://jobview.monster.com/Accounting-Payroll-Clerk-Job-Astoria-NY-US-167754806.aspx,"47-11 45th St, New York, NY 11377
"
"Baruch College
",http://jobview.monster.com/Accounts-Payable-Clerk-with-Insurance-Background-Job-Garden-City-NY-US-169427405.aspx,"41-15 50th St, New York, NY 11377
"
"Baruch College
",http://job-openings.monster.com/monster/fc17c7a2-0016-46e0-a44a-52a18394eaeb,"228 Lincoln Pl, New York, NY 11217
"
"Fordham University
",http://jobview.monster.com/Accounts-Payable-Clerk-Job-Elizabeth-NJ-US-114301403.aspx,"41-46 50th St, New York, NY 11377
"
"Baruch College
",http://job-openings.monster.com/monster/18dd403c-d5eb-47d7-94ee-bb4b9c2cfa64,"32-19 76th St, New York, NY 11370
"
"Fordham University
",http://job-openings.monster.com/monster/920f8a7d-bbbd-4242-a0f5-c631a7a4601e,"41-46 50th St, New York, NY 11377
"
"Manhattan College
",http://job-openings.monster.com/monster/b24e7305-3381-4c0f-8afc-08fb97d826a6,"32-19 76th St, New York, NY 11370
"
"Manhattan College
",http://job-openings.monster.com/monster/7c0af753-14b1-4e1d-b074-341437e88dd8,"41-15 50th St, New York, NY 11377
"
"Baruch College
",http://job-openings.monster.com/monster/cdca2dae-caa0-4bdc-832b-61a21a381f45,"288 Prospect Pl, New York, NY 11238
"
"Baruch College
",http://job-openings.monster.com/monster/ca01f201-2d44-46aa-af49-85f43e421b11,"31-23 80th St, New York, NY 11370
"
"Fordham University
",http://job-openings.monster.com/monster/5779a691-da67-4375-aa3d-0c3091cb0a09,"4600 Palisade Ave, New York, NY 10471
"
"Baruch College
",http://job-openings.monster.com/monster/c7e724ea-007c-418e-b62d-04a4e77854b7,"47-11 45th St, New York, NY 11377
"
"Pace University
",http://job-openings.monster.com/monster/0b2a8ac4-504e-4b4e-a5be-1abd677986b3,"41-22 42nd St, New York, NY 11104
"
"Manhattan College
",http://job-openings.monster.com/monster/3a72fb34-6283-4164-a4a4-d444cd93e9c4,"32-19 76th St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/337681ef-f24f-4003-9d9d-983ea57eec49,"4600 Palisade Ave, New York, NY 10471
"
"Baruch College
",http://job-openings.monster.com/monster/745a0cfb-6c02-4085-9fd5-ca17559daff7,"9 Ploughmans Bush, New York, NY 10471
"
"Manhattan College
",http://job-openings.monster.com/monster/4aa0edd2-dc48-4c87-af7b-ff6df53ce282,"681 Bergen St, New York, NY 11238
"
"Pace University
",http://job-openings.monster.com/monster/df3b4054-5653-4576-9928-c22210a5a6a9,"31-23 80th St, New York, NY 11370
"
"Baruch College
",http://job-openings.monster.com/monster/c5e1b52e-689b-48c0-9d06-ffa6436aadff,"32-19 76th St, New York, NY 11370
"
"Pace University
",http://job-openings.monster.com/monster/dc3f36b9-016c-400b-80b2-96d234804d66,"41-46 50th St, New York, NY 11377
"
"Fordham University
",http://job-openings.monster.com/monster/fbad3949-c87d-45fe-a49f-44e8f755f12c,"4645 Independence Ave, New York, NY 10471
"
"Baruch College
",http://job-openings.monster.com/monster/e24d718f-e26d-4a72-8ded-128b4a94a010,"681 Bergen St, New York, NY 11238
"
"Manhattan College
",http://job-openings.monster.com/monster/aeccfa13-8e3b-4a37-b673-ebf1fba0c7cc,"681 Bergen St, New York, NY 11238
"
"Manhattan College
",http://job-openings.monster.com/monster/40186590-8447-41f6-b4a6-a1e8a080cd70,"32-19 76th St, New York, NY 11370
"
"Manhattan College
",http://job-openings.monster.com/monster/92568bf1-85e1-4dc6-bfe2-03beba5333fa,"153 Underhill Ave, New York, NY 11238
"
"Manhattan College
",http://job-openings.monster.com/monster/3e2725a1-bb1f-42db-b191-78071c7a5a6c,"32-43 83rd St, New York, NY 11370
"
"Fordham University
",http://job-openings.monster.com/monster/22b4a424-0f1d-40b5-81be-264060caec31,"228 Lincoln Pl, New York, NY 11217
"
"Manhattan College
",http://job-openings.monster.com/monster/232b2b1f-a497-452f-9d14-e6fa62a56755,"9 Ploughmans Bush, New York, NY 10471
"
