college,type,resume,link,address
"Manhattan College
",New York,5,http://jobview.monster.com/Customer-Service-Inventory-Clerk-Job-North-Bergen-NJ-US-158952151.aspx,"31-23 80th St, New York, NY 11370
"
"Baruch College
",New York,1,http://jobview.monster.com/Accounts-Receivable-Clerk-Job-Bronx-NY-US-169732997.aspx,"31-23 80th St, New York, NY 11370
"
"Manhattan College
",New York,3,http://jobview.monster.com/Records-Clerk-Job-Livingston-NJ-US-169175087.aspx,"32-54 82nd St, New York, NY 11370
"
"Fordham University
",New York,5,http://job-openings.monster.com/monster/dc58950b-69c3-49a6-b356-4c550f7d6fe8,"41-22 42nd St, New York, NY 11104
"
"Pace University
",New York,4,http://jobview.monster.com/Accounting-Clerk-Job-Union-NJ-US-112981597.aspx,"4600 Palisade Ave, New York, NY 10471
"
"Baruch College
",New York,3,http://job-openings.monster.com/monster/b6b55622-a28c-4e90-bdcf-68bc47679464,"32-19 76th St, New York, NY 11370
"
"Pace University
",New York,2,http://job-openings.monster.com/monster/70ea7e06-4e7a-4947-ad0b-b12063d24671,"41-15 50th St, New York, NY 11377
"
"Baruch College
",New York,4,http://job-openings.monster.com/monster/1e772d06-27bb-434b-b448-859503539ea0,"9 Ploughmans Bush, New York, NY 10471
"
"Fordham University
",New York,5,http://job-openings.monster.com/monster/5cd75e34-b0c4-44a1-bc08-6339050f00e6,"32-19 76th St, New York, NY 11370
"
"Pace University
",New York,3,http://job-openings.monster.com/monster/88d4ed69-ae18-4b63-9682-684eb99766ef,"32-43 83rd St, New York, NY 11370
"
"Manhattan College
",New York,2,http://job-openings.monster.com/monster/250e637c-fb34-4f21-9a47-2270706cd45f,"681 Bergen St, New York, NY 11238
"
"Manhattan College
",New York,3,http://job-openings.monster.com/monster/47d9c56f-bc38-4f70-97bd-50c0625010af,"4600 Palisade Ave, New York, NY 10471
"
"Pace University
",New York,1,http://job-openings.monster.com/monster/8f7d71b4-e45d-4ec0-8e20-fcec083cbb3e,"32-54 80th St, New York, NY 11370
"
"Baruch College
",New York,7,http://job-openings.monster.com/monster/39377e55-777b-45fc-8c29-9102d44a2ed2,"32-43 83rd St, New York, NY 11370
"
"Fordham University
",New York,3,http://job-openings.monster.com/monster/9b75176b-eef1-48c5-98ee-7089dddcde69,"4650 Hadley Ave, New York, NY 10471
"
"Baruch College
",New York,6,http://job-openings.monster.com/monster/191d8f12-2cb5-4320-9ec4-c6018f8136d3,"41-46 50th St, New York, NY 11377
"
"Baruch College
",New York,5,http://job-openings.monster.com/monster/5b116cf1-1a45-41a8-a859-a15aa29e5507,"4600 Palisade Ave, New York, NY 10471
"
"Fordham University
",New York,5,http://job-openings.monster.com/monster/43a68293-fb9a-498c-8728-4c228e7b3a04,"32-19 76th St, New York, NY 11370
"
"Fordham University
",New York,2,http://job-openings.monster.com/monster/11a2e500-2109-4a9a-8e8a-f5e620ceac8c,"4069 Dodgewood Rd, New York, NY 10471
"
"Fordham University
",New York,3,http://job-openings.monster.com/monster/a6eddbe4-da73-463a-8d47-b2a181cc0bb2,"41-22 42nd St, New York, NY 11104
"
"Baruch College
",New York,5,http://job-openings.monster.com/monster/9baefbed-f292-4d8e-b42e-749c2062ff71,"228 Lincoln Pl, New York, NY 11217
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/b844caf6-8ce6-4143-ae35-c03513843fd4,"31-23 80th St, New York, NY 11370
"
"Manhattan College
",New York,6,http://job-openings.monster.com/monster/080ba561-b457-4b71-b2c9-38c2f0ecc536,"681 Bergen St, New York, NY 11238
"
"Manhattan College
",New York,5,http://job-openings.monster.com/monster/cb0a6358-3452-416e-9250-dc95f42eea7e,"32-54 82nd St, New York, NY 11370
"
"Baruch College
",New York,6,http://job-openings.monster.com/monster/aeeae3a6-6987-436a-a5c8-a8289f3c4841,"47-11 45th St, New York, NY 11377
"
"Manhattan College
",New York,7,http://job-openings.monster.com/monster/63adc08b-6002-41cc-8571-f6e064d1aff3,"32-43 83rd St, New York, NY 11370
"
"Pace University
",New York,5,http://job-openings.monster.com/monster/56e81547-de1c-42db-83e7-547176a6e9d6,"41-15 50th St, New York, NY 11377
"
"Manhattan College
",New York,4,http://job-openings.monster.com/monster/841b4309-7ffa-4497-9bd3-b1396227d8a0,"4600 Palisade Ave, New York, NY 10471
"
"Pace University
",New York,7,http://job-openings.monster.com/monster/1b91365f-8bea-4e08-8ca6-3d859040a0fa,"4600 Palisade Ave, New York, NY 10471
"
"Pace University
",New York,0,http://job-openings.monster.com/monster/52d7bf43-90b8-46bc-be14-2b36d0207727,"32-54 82nd St, New York, NY 11370
"
"Fordham University
",New York,7,http://job-openings.monster.com/monster/97b4baa3-bf4f-46f9-8dc5-fa99dec666c2,"4069 Dodgewood Rd, New York, NY 10471
"
"Manhattan College
",New York,6,http://job-openings.monster.com/monster/592c22e2-9c0c-4ee7-b668-aaf885f1e1c4,"45-44 42nd St, New York, NY 11104
"
"Manhattan College
",New York,6,http://job-openings.monster.com/monster/a10c71d3-5b81-4c3c-9397-b1cb660df460,"41-22 42nd St, New York, NY 11104
"
"Fordham University
",New York,1,http://job-openings.monster.com/monster/f7372fba-f074-4cab-97fd-5fdd43f5805b,"31-23 80th St, New York, NY 11370
"
"Fordham University
",New York,6,http://job-openings.monster.com/monster/a4734c7c-22ff-40fd-84cc-e86461adbc0d,"45-44 42nd St, New York, NY 11104
"
"Manhattan College
",New York,2,http://job-openings.monster.com/monster/eb91ae49-5f40-4ca7-8b7b-7334feb729a1,"31-23 80th St, New York, NY 11370
"
"Fordham University
",New York,4,http://job-openings.monster.com/monster/16f38127-eedf-4e7b-b30e-b8e13f40b80f,"32-43 83rd St, New York, NY 11370
"
"Pace University
",New York,5,http://job-openings.monster.com/monster/a97b4cea-cf01-408d-84e1-3c8cee72e052,"153 Underhill Ave, New York, NY 11238
"
"Pace University
",New York,5,http://job-openings.monster.com/monster/316f0d09-d49a-4f03-add1-d8c7d66f1510,"153 Underhill Ave, New York, NY 11238
"
"Manhattan College
",New York,0,http://job-openings.monster.com/monster/0bb699fa-702f-4ad5-a30a-8ae427135903,"41-22 42nd St, New York, NY 11104
"
"Baruch College
",New York,1,http://job-openings.monster.com/monster/2ff36ac2-2e4f-4b0c-8dee-ad955412a3d1,"681 Bergen St, New York, NY 11238
"
"Manhattan College
",New York,3,http://job-openings.monster.com/monster/de83fdc1-01b6-4646-9eeb-636cb11cd683,"41-22 42nd St, New York, NY 11104
"
"Pace University
",New York,2,http://job-openings.monster.com/monster/7a6aa49c-f1c3-495d-b456-cfa539ff66a4,"9 Ploughmans Bush, New York, NY 10471
"
"Pace University
",New York,6,http://job-openings.monster.com/monster/bb49bca1-f9e0-431a-bb30-97f7bdf44441,"4645 Independence Ave, New York, NY 10471
"
"Pace University
",New York,1,http://job-openings.monster.com/monster/73294bec-b73f-4f81-b862-213231e7e424,"41-22 42nd St, New York, NY 11104
"
"Fordham University
",New York,0,http://job-openings.monster.com/monster/02caf0aa-2760-4818-bcf2-331d453bfc47,"228 Lincoln Pl, New York, NY 11217
"
"Baruch College
",New York,7,http://job-openings.monster.com/monster/b533e27e-a6f4-4859-aaca-0f2fe7ccbd09,"32-54 80th St, New York, NY 11370
"
"Baruch College
",New York,6,http://job-openings.monster.com/monster/ba7c4107-ded2-4a8e-9849-1475a8ca2ec9,"153 Underhill Ave, New York, NY 11238
"
"Manhattan College
",New York,0,http://job-openings.monster.com/monster/045c06e5-dec6-4c7d-9d05-06f661600fdc,"32-19 76th St, New York, NY 11370
"
"Fordham University
",New York,2,http://job-openings.monster.com/monster/d77afd47-35d0-477b-8c6f-8c5355dfd200,"4600 Palisade Ave, New York, NY 10471
"
"Fordham University
",New York,1,http://job-openings.monster.com/monster/37f67e67-ecbd-4da5-a78f-29c98bddfde1,"9 Ploughmans Bush, New York, NY 10471
"
"Manhattan College
",New York,3,http://job-openings.monster.com/monster/d4fd14be-79cc-47d3-be32-96b3758c96d1,"153 Underhill Ave, New York, NY 11238
"
"Pace University
",New York,2,http://job-openings.monster.com/monster/5dc7f847-0a5b-48cd-8c8b-586afa0323fb,"32-19 76th St, New York, NY 11370
"
"Pace University
",New York,6,http://job-openings.monster.com/monster/d783385d-1d1d-495b-ba92-8517d9fd88d3,"32-54 80th St, New York, NY 11370
"
"Baruch College
",New York,4,http://job-openings.monster.com/monster/86fe0ccb-4b9a-4521-9772-c6c3b143d0f4,"228 Lincoln Pl, New York, NY 11217
"
"Manhattan College
",New York,7,http://job-openings.monster.com/monster/037318dc-5d60-48fd-9fe1-6a8710964281,"681 Bergen St, New York, NY 11238
"
"Pace University
",New York,6,http://job-openings.monster.com/monster/a74ff33b-66b5-4d44-9669-76bdcc8d251f,"32-54 82nd St, New York, NY 11370
"
"Manhattan College
",New York,6,http://job-openings.monster.com/monster/e106705b-235f-42da-9280-b9e1b6160c9c,"4600 Palisade Ave, New York, NY 10471
"
"Baruch College
",New York,6,http://job-openings.monster.com/monster/46bb90b3-9423-4656-8d33-bc1a2032a2ca,"4069 Dodgewood Rd, New York, NY 10471
"
"Fordham University
",New York,2,http://job-openings.monster.com/monster/2a6a1350-4d40-40b0-86f2-23dcbfd804c4,"681 Bergen St, New York, NY 11238
"
"Baruch College
",New York,2,http://job-openings.monster.com/monster/94ed8b8b-ce96-4cb7-8aca-6c8dbe1a9dc1,"32-54 80th St, New York, NY 11370
"
"Manhattan College
",New York,5,http://job-openings.monster.com/monster/7883981c-97cc-40d8-9ac7-1a367b62ca41,"4069 Dodgewood Rd, New York, NY 10471
"
"Baruch College
",New York,1,http://job-openings.monster.com/monster/b2b5340e-9b45-4aa2-9391-c5af41123597,"45-44 42nd St, New York, NY 11104
"
"Baruch College
",New York,4,http://job-openings.monster.com/monster/36c574ea-8683-4059-bc39-816dd048b999,"47-11 45th St, New York, NY 11377
"
"Baruch College
",New York,3,http://job-openings.monster.com/monster/b499cfe4-ecd0-4225-b7e8-2918ed721173,"32-43 83rd St, New York, NY 11370
"
"Pace University
",New York,2,http://job-openings.monster.com/monster/a2bcbcbe-13ec-472b-95bc-557907479dbf,"4069 Dodgewood Rd, New York, NY 10471
"
"Fordham University
",New York,7,http://job-openings.monster.com/monster/83e97792-053a-401a-8042-5ba8865ac5fd,"4650 Hadley Ave, New York, NY 10471
"
"Manhattan College
",New York,5,http://job-openings.monster.com/monster/57f44a1b-33be-49a1-a298-38d1ce380425,"4645 Independence Ave, New York, NY 10471
"
"Fordham University
",New York,4,http://job-openings.monster.com/monster/662c422d-ac85-409f-87df-cf5ae8c72be1,"288 Prospect Pl, New York, NY 11238
"
"Pace University
",New York,1,http://job-openings.monster.com/monster/c009ec55-48f2-452f-a765-abf9794bf1a8,"4650 Hadley Ave, New York, NY 10471
"
"Manhattan College
",New York,1,http://job-openings.monster.com/monster/6dda859a-9db5-4732-8962-f3e252e9c8ff,"4645 Independence Ave, New York, NY 10471
"
"Manhattan College
",New York,5,http://job-openings.monster.com/monster/a57b72d6-a933-4644-a0df-257e5edde6a5,"41-22 42nd St, New York, NY 11104
"
"Pace University
",New York,2,http://job-openings.monster.com/monster/957e958e-128a-4e66-be20-6c76f1120ba3,"32-19 76th St, New York, NY 11370
"
"Manhattan College
",New York,7,http://job-openings.monster.com/monster/382c6f7d-3667-49e8-a158-619a8a771c11,"31-23 80th St, New York, NY 11370
"
"Pace University
",New York,3,http://job-openings.monster.com/monster/0bfd1c04-6b24-45af-ba2f-c4689825413a,"32-19 76th St, New York, NY 11370
"
"Baruch College
",New York,3,http://job-openings.monster.com/monster/fcfcb14d-110b-46b7-b2b3-b08cf41df13f,"4645 Independence Ave, New York, NY 10471
"
"Baruch College
",New York,6,http://job-openings.monster.com/monster/6949bdd7-dd9a-49b1-9879-e3c986615a42,"4645 Independence Ave, New York, NY 10471
"
"Baruch College
",New York,1,http://job-openings.monster.com/monster/df80e770-2fbe-4642-adb9-77d12c080098,"41-15 50th St, New York, NY 11377
"
"Pace University
",New York,7,http://job-openings.monster.com/monster/0bbfbbbb-0f28-4c2b-9924-f127a65685ef,"4650 Hadley Ave, New York, NY 10471
"
"Baruch College
",New York,6,http://job-openings.monster.com/monster/2198a274-cea9-4042-ae42-03b92676b295,"228 Lincoln Pl, New York, NY 11217
"
"Manhattan College
",New York,0,http://job-openings.monster.com/monster/bb267fcc-2312-49d5-9e4b-6ed4569c6da0,"288 Prospect Pl, New York, NY 11238
"
"Pace University
",New York,3,http://job-openings.monster.com/monster/37e493a1-25bc-4032-a197-9bec6e72a832,"32-43 83rd St, New York, NY 11370
"
"California State University, Long Beach
",Los Angeles,0,http://jobview.monster.com/Clerical-Admin-Job-Los-Angeles-CA-US-169211989.aspx,"13929 Cardillo Dr, Los Angeles, CA 92683
"
"Loyola Marymount University
",Los Angeles,0,http://jobview.monster.com/Mailroom-Clerk-Job-Chatsworth-CA-US-168338194.aspx,"1308 9th St, Los Angeles, CA 90401
"
"Pepperdine University
",Los Angeles,1,http://jobview.monster.com/Accounts-Receivable-Clerk-Job-Los-Angeles-CA-US-169657721.aspx,"7200 Rindge Ave, Los Angeles, CA 90293
"
"California State University, Long Beach
",Los Angeles,0,http://jobview.monster.com/General-Clerk-II-Job-Los-Angeles-CA-US-169092383.aspx,"5236 Park Ave, Los Angeles, CA 92845
"
"California State University, Northridge
",Los Angeles,4,http://jobview.monster.com/Contract-Clerk-Automotive-Job-Pasadena-CA-US-167761149.aspx,"1122 10th St, Los Angeles, CA 90403
"
"California State University, Northridge
",Los Angeles,2,http://jobview.monster.com/Medical-Records-Clerk-Full-Time-Days-Kindred-Hospital-San-Gabriel-Valley-Job-West-Covina-CA-US-169659162.aspx,"1308 9th St, Los Angeles, CA 90401
"
"Pepperdine University
",Los Angeles,3,http://jobview.monster.com/Acounts-Payable-Clerk-Job-Los-Angeles-CA-US-169394520.aspx,"433 Sunridge St, Los Angeles, CA 90293
"
"Loyola Marymount University
",Los Angeles,3,http://jobview.monster.com/Shipping-Clerk-Needed-ASAP-in-Glendale-Job-Glendale-CA-US-169660161.aspx,"1325 Arizona Ave, Los Angeles, CA 90404
"
"Loyola Marymount University
",Los Angeles,5,http://job-openings.monster.com/monster/8597c260-6484-4ef6-85de-5b36eca40ce7,"1049 Larker Ave, Los Angeles, CA 90042
"
"Loyola Marymount University
",Los Angeles,7,http://job-openings.monster.com/monster/cf5285fa-0a5f-476a-8edc-000d347a8a61,"15415 Dogwood St, Los Angeles, CA 92683
"
"Pepperdine University
",Los Angeles,6,http://job-openings.monster.com/monster/2773266b-411b-4ffc-8cb3-801c45d44463,"395 W Terrace Ln, Los Angeles, CA 90042
"
"Pepperdine University
",Los Angeles,4,http://jobview.monster.com/clerk-job-chatsworth-ca-us-169210662.aspx,"1122 10th St, Los Angeles, CA 90403
"
"California State University, Long Beach
",Los Angeles,3,http://jobview.monster.com/OS-DR-Clerk-Job-Sherman-Oaks-CA-US-169596237.aspx,"1049 Larker Ave, Los Angeles, CA 90042
"
"Loyola Marymount University
",Los Angeles,1,http://jobview.monster.com/Accounting-Clerk-Job-Rowland-Heights-CA-US-162617255.aspx,"7200 Rindge Ave, Los Angeles, CA 90293
"
"California State University, Northridge
",Los Angeles,3,http://jobview.monster.com/Receiving-Clerk-Needed-ASAP-in-Glendale!!!!!-Job-Glendale-CA-US-169443210.aspx,"433 Sunridge St, Los Angeles, CA 90293
"
"California State University, Long Beach
",Los Angeles,6,http://jobview.monster.com/Cash-Applications-Clerk-Entertainment-Industry-Job-Santa-Monica-CA-US-169488751.aspx,"6414 Roble Ave, Los Angeles, CA 90042
"
"California State University, Northridge
",Los Angeles,4,http://job-openings.monster.com/monster/d06f3102-ffd1-4bbf-9412-6129464191ee,"6414 Roble Ave, Los Angeles, CA 90042
"
"California State University, Northridge
",Los Angeles,4,http://job-openings.monster.com/monster/bac0c1d4-7422-4bea-998a-53a0bcbfc28f,"1218 12th St, Los Angeles, CA 90401
"
"California State University, Long Beach
",Los Angeles,6,http://job-openings.monster.com/monster/bb7274fb-b41c-490d-8787-d8e313867464,"395 W Terrace Ln, Los Angeles, CA 90042
"
"California State University, Northridge
",Los Angeles,5,http://job-openings.monster.com/monster/c142cfd7-1d33-457f-a6d7-465a16f0ec2f,"14335 Cedarwood Ave, Los Angeles, CA 92683
"
"Loyola Marymount University
",Los Angeles,2,http://job-openings.monster.com/monster/73bad811-8f25-4eef-a71f-43a671f32a00,"7553 Trask Ave, Los Angeles, CA 90293
"
"California State University, Long Beach
",Los Angeles,2,http://job-openings.monster.com/monster/ee3c8f19-8dfc-42e8-9e64-4b21acc838f7,"7200 Rindge Ave, Los Angeles, CA 90293
"
"Pepperdine University
",Los Angeles,6,http://job-openings.monster.com/monster/89ac6866-1c64-41a4-97f9-c56258272741,"421 Lewis St, Los Angeles, CA 90042
"
"Loyola Marymount University
",Los Angeles,3,http://job-openings.monster.com/monster/bcf71bbc-b35a-4d10-a7a6-2cd49de79f60,"421 Lewis St, Los Angeles, CA 90042
"
"California State University, Northridge
",Los Angeles,5,http://job-openings.monster.com/monster/1c162880-0f13-449e-87ba-2f38d7e150d8,"6414 Roble Ave, Los Angeles, CA 90042
"
"Loyola Marymount University
",Los Angeles,7,http://job-openings.monster.com/monster/926162dc-e916-4cce-a2a2-6960c494408f,"8136 Zitola Terrace, Los Angeles, CA 90293
"
"California State University, Northridge
",Los Angeles,1,http://job-openings.monster.com/monster/468aa766-b2c1-41bc-bfa4-f46f276fe6c9,"1308 9th St, Los Angeles, CA 90401
"
"Pepperdine University
",Los Angeles,3,http://job-openings.monster.com/monster/9dec3f67-8f01-4b64-bbc3-0efd2238bb6f,"7553 Trask Ave, Los Angeles, CA 90293
"
"Loyola Marymount University
",Los Angeles,7,http://job-openings.monster.com/monster/dbc42d6a-87b9-4ed5-bc2f-ece3bcf9167e,"1218 12th St, Los Angeles, CA 90401
"
